+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 11/07/2015 18:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-11 18:00:13
Numero BTs: 109
Disponibilidad MUEBLE: 805354 / 825039  (0.976140521842)
Disponibilidad PUERTAS: 816463 / 824661  (0.99005894543334)
Disponibilidad FOTOCELULA: 820491 / 824661  (0.99494337673298)
Disponibilidad VARIADOR: 823042 / 824661  (0.99803676904813)
Disponibilidad LECTOR_QR_ENTRADA: 822505 / 823455  (0.99884632432859)
Disponibilidad LECTOR_QR_SALIDA: 822505 / 823455  (0.99884632432859)
Disponibilidad VTSC_ENTRADA: 823792 / 825047  (0.99847887453684)
Disponibilidad VTSC_SALIDA: 823929 / 825047  (0.99864492568302)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 11406 / 11646  (0.97939206594539)
Disponibilidad PUERTAS: 11619 / 11646  (0.99768160741886)
Disponibilidad FOTOCELULA: 11504 / 11646  (0.98780697235102)
Disponibilidad VARIADOR: 11603 / 11646  (0.99630774514855)
Disponibilidad LECTOR_QR_ENTRADA: 11407 / 11407  (1)
Disponibilidad LECTOR_QR_SALIDA: 11407 / 11407  (1)
Disponibilidad VTSC_ENTRADA: 11646 / 11646  (1)
Disponibilidad VTSC_SALIDA: 11576 / 11646  (0.99398935256741)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-11 18:01:18
Numero MAVs: 59
Disponibilidad MAVs: 1573221 / 1607895  (0.97843515901225)
Disponibilidad PaySystem: 1569484 / 1604052  (0.97844957644765)
Disponibilidad Printer: 1592545 / 1604052  (0.99282629241446)
Disponibilidad RFID: 1602908 / 1607895  (0.99689842931286)
Disponibilidad PLC: 1604026 / 1607895  (0.997593748348)
Disponibilidad Conexion: 1607895 / 1651523  (0.97358317141208)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 57 / 59  (0.96610169491525)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1113
Validaciones / Aperturas Ultima: 724 / 724  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.4.102	0		0		-0		0
 10.40.5.100	1		1		-0		0
 10.40.5.101	0		0		-0		0
 10.40.5.102	6		6		-0		0
 10.40.5.103	5		5		-0		0
 10.40.6.100	6		6		-0		0
 10.40.6.101	11		11		-0		0
 10.40.7.100	7		7		-0		0
 10.40.7.101	5		5		-0		0
 10.40.7.102	1		1		-0		0
 10.40.7.103	4		4		-0		0
 10.40.7.104	6		6		-0		0
 10.40.7.105	5		5		-0		0
 10.40.8.100	14		14		-0		0
 10.40.8.101	0		0		-0		0
 10.40.8.102	22		22		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	0		0		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-0		0
 10.40.11.100	0		-2		2
 10.40.11.101	0		-0		0
 10.40.11.102	0		-0		0
 10.40.12.100	0		-0		0
 10.40.12.101	0		-1		1
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-1		1
 10.40.13.105	0		-7		7
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-2		2
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-4		4
 10.40.2.101	0		-4		4
 10.40.20.100	0		-0		0
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-1		1
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-2		2
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-2		2
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-0		0
 10.40.30.101	0		-0		0
 10.40.4.100	0		-0		0
 10.40.4.101	0		-0		0
 10.40.4.102	0		-4		4
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-1		1
 10.40.8.101	0		-0		0
 10.40.8.102	0		-2		2
 10.40.9.100	0		-2		2
 10.40.9.101	0		-4		4
 10.40.9.102	0		-2		2
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-07-11 17:58:08
Validaciones	Puerta Abierta	Porc.
724	724	1
IP	Valid	Puert	Porc
10.40.1.100	40	40	1
10.40.1.101	28	28	1
10.40.1.102	26	26	1
10.40.1.103	18	18	1
10.40.1.104	11	11	1
10.40.1.105	14	14	1
10.40.1.106	5	5	1
10.40.1.107	0	0	NULL
10.40.1.108	6	6	1
10.40.1.109	3	3	1
10.40.1.110	43	43	1
10.40.1.111	65	65	1
10.40.1.112	53	53	1
10.40.1.113	29	29	1
10.40.10.100	10	10	1
10.40.10.101	9	9	1
10.40.11.100	2	2	1
10.40.11.101	13	13	1
10.40.11.102	9	9	1
10.40.12.100	3	3	1
10.40.12.101	6	6	1
10.40.12.102	0	0	NULL
10.40.13.100	0	0	NULL
10.40.13.101	3	3	1
10.40.13.102	18	18	1
10.40.13.103	31	31	1
10.40.13.104	35	35	1
10.40.13.105	29	29	1
10.40.15.100	3	3	1
10.40.15.101	0	0	NULL
10.40.16.100	2	2	1
10.40.16.101	0	0	NULL
10.40.17.100	3	3	1
10.40.17.101	7	7	1
10.40.17.102	10	10	1
10.40.18.100	13	13	1
10.40.18.101	2	2	1
10.40.18.102	0	0	NULL
10.40.2.100	0	0	NULL
10.40.2.101	0	0	NULL
10.40.20.100	4	4	1
10.40.20.101	3	3	1
10.40.21.100	9	9	1
10.40.21.101	8	8	1
10.40.21.102	12	12	1
10.40.21.103	14	14	1
10.40.22.100	8	8	1
10.40.22.101	8	8	1
10.40.22.102	8	8	1
10.40.22.103	1	1	1
10.40.23.100	0	0	NULL
10.40.23.101	0	0	NULL
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	0	0	NULL
10.40.25.101	0	0	NULL
10.40.25.102	0	0	NULL
10.40.25.103	0	0	NULL
10.40.26.100	0	0	NULL
10.40.26.101	0	0	NULL
10.40.26.102	0	0	NULL
10.40.26.103	0	0	NULL
10.40.27.100	0	0	NULL
10.40.27.101	0	0	NULL
10.40.27.102	0	0	NULL
10.40.27.103	0	0	NULL
10.40.28.100	0	0	NULL
10.40.28.101	0	0	NULL
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	2	2	1
10.40.30.101	2	2	1
10.40.4.100	3	3	1
10.40.4.101	0	0	NULL
10.40.4.102	0	0	NULL
10.40.5.100	1	1	1
10.40.5.101	0	0	NULL
10.40.5.102	6	6	1
10.40.5.103	5	5	1
10.40.6.100	6	6	1
10.40.6.101	11	11	1
10.40.7.100	7	7	1
10.40.7.101	5	5	1
10.40.7.102	1	1	1
10.40.7.103	4	4	1
10.40.7.104	6	6	1
10.40.7.105	5	5	1
10.40.8.100	14	14	1
10.40.8.101	0	0	NULL
10.40.8.102	22	22	1
10.40.9.100	0	0	NULL
10.40.9.101	0	0	NULL
10.40.9.102	0	0	NULL
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
