+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 02/07/2015 19:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-02 19:00:09
Numero BTs: 109
Disponibilidad MUEBLE: 712660 / 730718  (0.97528732014265)
Disponibilidad PUERTAS: 722624 / 730356  (0.98941338196715)
Disponibilidad FOTOCELULA: 726560 / 730356  (0.99480253465433)
Disponibilidad VARIADOR: 728844 / 730356  (0.99792977671163)
Disponibilidad LECTOR_QR_ENTRADA: 729396 / 730294  (0.99877035823928)
Disponibilidad LECTOR_QR_SALIDA: 729396 / 730294  (0.99877035823928)
Disponibilidad VTSC_ENTRADA: 729827 / 730742  (0.99874784807771)
Disponibilidad VTSC_SALIDA: 729835 / 730742  (0.99875879585408)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 12318 / 12492  (0.98607108549472)
Disponibilidad PUERTAS: 12472 / 12492  (0.99839897534422)
Disponibilidad FOTOCELULA: 12454 / 12492  (0.99695805315402)
Disponibilidad VARIADOR: 12489 / 12492  (0.99975984630163)
Disponibilidad LECTOR_QR_ENTRADA: 12489 / 12492  (0.99975984630163)
Disponibilidad LECTOR_QR_SALIDA: 12489 / 12492  (0.99975984630163)
Disponibilidad VTSC_ENTRADA: 12487 / 12492  (0.99959974383606)
Disponibilidad VTSC_SALIDA: 12488 / 12492  (0.99967979506884)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-02 19:01:18
Numero MAVs: 59
Disponibilidad MAVs: 1397986 / 1426075  (0.98030327998177)
Disponibilidad PaySystem: 1397564 / 1425653  (0.98029744965991)
Disponibilidad Printer: 1417013 / 1425653  (0.99393961924816)
Disponibilidad RFID: 1422142 / 1426075  (0.99724208053574)
Disponibilidad PLC: 1422529 / 1426075  (0.9975134547622)
Disponibilidad Conexion: 1426075 / 1451278  (0.98263392678729)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 55 / 59  (0.93220338983051)
Disponibilidad Printer: 55 / 59  (0.93220338983051)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=982
Validaciones / Aperturas Ultima: 1266 / 1259  (0.0055292259083728)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.4.102	6		6		-0		0
 10.40.5.100	7		7		-0		0
 10.40.5.101	4		4		-0		0
 10.40.5.102	12		12		-0		0
 10.40.5.103	9		9		-0		0
 10.40.6.100	10		10		-0		0
 10.40.6.101	16		16		-0		0
 10.40.7.100	7		7		-0		0
 10.40.7.101	7		7		-0		0
 10.40.7.102	1		1		-0		0
 10.40.7.103	16		16		-0		0
 10.40.7.104	19		19		-0		0
 10.40.7.105	7		7		-0		0
 10.40.8.100	5		5		-0		0
 10.40.8.101	29		29		-0		0
 10.40.8.102	8		8		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	0		0		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-2		2
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-4		4
 10.40.11.102	0		-6		6
 10.40.12.100	0		-1		1
 10.40.12.101	0		-2		2
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-0		0
 10.40.13.105	0		-8		8
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-0		0
 10.40.20.101	0		-3		3
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-4		4
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-2		2
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-1		1
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-5		5
 10.40.30.101	0		-1		1
 10.40.4.100	0		-0		0
 10.40.4.101	0		-1		1
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-2		2
 10.40.5.102	0		-1		1
 10.40.5.103	0		-2		2
 10.40.6.100	0		-2		2
 10.40.6.101	0		-4		4
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-0		0
 10.40.9.101	0		-0		0
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-07-02 18:58:13
Validaciones	Puerta Abierta	Porc.
1266	1259	0.994470774091627
IP	Valid	Puert	Porc
10.40.1.100	52	52	1
10.40.1.101	41	41	1
10.40.1.102	30	30	1
10.40.1.103	22	22	1
10.40.1.104	15	15	1
10.40.1.105	23	23	1
10.40.1.106	4	4	1
10.40.1.107	14	14	1
10.40.1.108	71	71	1
10.40.1.109	64	64	1
10.40.1.110	53	53	1
10.40.1.111	28	27	0.964285714285714
10.40.1.112	62	62	1
10.40.1.113	59	59	1
10.40.10.100	19	19	1
10.40.10.101	22	22	1
10.40.11.100	3	3	1
10.40.11.101	22	22	1
10.40.11.102	11	11	1
10.40.12.100	7	7	1
10.40.12.101	8	9	1.125
10.40.12.102	0	0	NULL
10.40.13.100	15	15	1
10.40.13.101	23	23	1
10.40.13.102	37	37	1
10.40.13.103	44	44	1
10.40.13.104	60	60	1
10.40.13.105	42	42	1
10.40.15.100	2	2	1
10.40.15.101	2	2	1
10.40.16.100	1	1	1
10.40.16.101	1	1	1
10.40.17.100	9	9	1
10.40.17.101	16	16	1
10.40.17.102	13	13	1
10.40.18.100	15	15	1
10.40.18.101	5	5	1
10.40.18.102	5	5	1
10.40.2.100	10	10	1
10.40.2.101	7	0	0
10.40.20.100	3	3	1
10.40.20.101	3	3	1
10.40.21.100	5	5	1
10.40.21.101	12	12	1
10.40.21.102	23	23	1
10.40.21.103	11	11	1
10.40.22.100	6	6	1
10.40.22.101	10	10	1
10.40.22.102	10	10	1
10.40.22.103	5	5	1
10.40.23.100	11	11	1
10.40.23.101	4	4	1
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	2	2	1
10.40.25.101	11	11	1
10.40.25.102	0	0	NULL
10.40.25.103	0	0	NULL
10.40.26.100	12	12	1
10.40.26.101	8	8	1
10.40.26.102	2	2	1
10.40.26.103	2	2	1
10.40.27.100	4	4	1
10.40.27.101	4	4	1
10.40.27.102	2	2	1
10.40.27.103	2	2	1
10.40.28.100	0	0	NULL
