+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 20/07/2015 22:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-20 22:00:11
Numero BTs: 109
Disponibilidad MUEBLE: 943482 / 965972  (0.97671775165326)
Disponibilidad PUERTAS: 955463 / 965586  (0.98951621088127)
Disponibilidad FOTOCELULA: 960938 / 965586  (0.99518634280116)
Disponibilidad VARIADOR: 963168 / 965586  (0.99749582119045)
Disponibilidad LECTOR_QR_ENTRADA: 963127 / 964078  (0.99901356529243)
Disponibilidad LECTOR_QR_SALIDA: 963127 / 964078  (0.99901356529243)
Disponibilidad VTSC_ENTRADA: 964706 / 965972  (0.99868940300547)
Disponibilidad VTSC_SALIDA: 964707 / 965972  (0.99869043823216)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 14231 / 14472  (0.98334715312327)
Disponibilidad PUERTAS: 14269 / 14472  (0.98597291321172)
Disponibilidad FOTOCELULA: 14460 / 14472  (0.99917081260365)
Disponibilidad VARIADOR: 14401 / 14472  (0.99509397457159)
Disponibilidad LECTOR_QR_ENTRADA: 14472 / 14472  (1)
Disponibilidad LECTOR_QR_SALIDA: 14472 / 14472  (1)
Disponibilidad VTSC_ENTRADA: 14472 / 14472  (1)
Disponibilidad VTSC_SALIDA: 14468 / 14472  (0.99972360420122)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-20 22:01:10
Numero MAVs: 59
Disponibilidad MAVs: 1857435 / 1903272  (0.97591673707174)
Disponibilidad PaySystem: 1852653 / 1898384  (0.97591056393227)
Disponibilidad Printer: 1882041 / 1898384  (0.99139109895574)
Disponibilidad RFID: 1897015 / 1903272  (0.99671250352025)
Disponibilidad PLC: 1899073 / 1903272  (0.99779379930982)
Disponibilidad Conexion: 1903272 / 1956738  (0.97267595355127)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 57 / 59  (0.96610169491525)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1328
Validaciones / Aperturas Ultima: 615 / 609  (0.0097560975609756)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-0		0
 10.40.30.101	0		-0		0
 10.40.4.100	0		-0		0
 10.40.4.101	0		-2		2
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-6		6
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-2		2
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-2		2
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-2		2
 10.40.9.100	0		-2		2
 10.40.9.101	0		-0		0
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-07-20 21:58:01
Validaciones	Puerta Abierta	Porc.
615	609	0.990243902439024
IP	Valid	Puert	Porc
10.40.1.100	23	23	1
10.40.1.101	17	17	1
10.40.1.102	11	11	1
10.40.1.103	15	15	1
10.40.1.104	10	10	1
10.40.1.105	7	7	1
10.40.1.106	5	5	1
10.40.1.107	0	0	NULL
10.40.1.108	49	49	1
10.40.1.109	36	36	1
10.40.1.110	20	20	1
10.40.1.111	13	13	1
10.40.1.112	29	29	1
10.40.1.113	15	15	1
10.40.10.100	7	7	1
10.40.10.101	9	9	1
10.40.11.100	6	6	1
10.40.11.101	10	10	1
10.40.11.102	13	13	1
10.40.12.100	13	13	1
10.40.12.101	10	10	1
10.40.12.102	0	0	NULL
10.40.13.100	3	3	1
10.40.13.101	8	8	1
10.40.13.102	8	8	1
10.40.13.103	26	26	1
10.40.13.104	29	29	1
10.40.13.105	22	22	1
10.40.15.100	1	1	1
10.40.15.101	1	1	1
10.40.16.100	1	1	1
10.40.16.101	0	0	NULL
10.40.17.100	7	1	0.142857142857143
10.40.17.101	0	0	NULL
10.40.17.102	0	0	NULL
10.40.18.100	0	0	NULL
10.40.18.101	0	0	NULL
10.40.18.102	0	0	NULL
10.40.2.100	0	0	NULL
10.40.2.101	0	0	NULL
10.40.20.100	7	7	1
10.40.20.101	15	15	1
10.40.21.100	10	10	1
10.40.21.101	14	14	1
10.40.21.102	19	19	1
10.40.21.103	10	10	1
10.40.22.100	3	3	1
10.40.22.101	5	5	1
10.40.22.102	1	1	1
10.40.22.103	2	2	1
10.40.23.100	0	0	NULL
10.40.23.101	0	0	NULL
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	0	0	NULL
10.40.25.101	0	0	NULL
10.40.25.102	0	0	NULL
10.40.25.103	0	0	NULL
10.40.26.100	0	0	NULL
10.40.26.101	0	0	NULL
10.40.26.102	0	0	NULL
10.40.26.103	0	0	NULL
10.40.27.100	0	0	NULL
10.40.27.101	0	0	NULL
10.40.27.102	0	0	NULL
10.40.27.103	0	0	NULL
10.40.28.100	0	0	NULL
10.40.28.101	0	0	NULL
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	2	2	1
10.40.30.101	0	0	NULL
10.40.4.100	2	2	1
10.40.4.101	1	1	1
10.40.4.102	10	10	1
10.40.5.100	10	10	1
10.40.5.101	3	3	1
10.40.5.102	5	5	1
10.40.5.103	1	1	1
10.40.6.100	10	10	1
10.40.6.101	3	3	1
10.40.7.100	4	4	1
10.40.7.101	0	0	NULL
10.40.7.102	0	0	NULL
10.40.7.103	12	12	1
10.40.7.104	12	12	1
10.40.7.105	12	12	1
10.40.8.100	0	0	NULL
10.40.8.101	10	10	1
10.40.8.102	8	8	1
10.40.9.100	0	0	NULL
10.40.9.101	0	0	NULL
10.40.9.102	0	0	NULL
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
