+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 04/07/2015 12:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-04 12:00:09
Numero BTs: 109
Disponibilidad MUEBLE: 737910 / 756330  (0.97564555154496)
Disponibilidad PUERTAS: 748115 / 755966  (0.98961461229738)
Disponibilidad FOTOCELULA: 752077 / 755966  (0.99485558874341)
Disponibilidad VARIADOR: 754450 / 755966  (0.99799461880561)
Disponibilidad LECTOR_QR_ENTRADA: 754973 / 755875  (0.99880668099884)
Disponibilidad LECTOR_QR_SALIDA: 754973 / 755875  (0.99880668099884)
Disponibilidad VTSC_ENTRADA: 755401 / 756352  (0.99874264892537)
Disponibilidad VTSC_SALIDA: 755438 / 756352  (0.9987915679472)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 6607 / 6782  (0.97419640224123)
Disponibilidad PUERTAS: 6690 / 6782  (0.98643468003539)
Disponibilidad FOTOCELULA: 6774 / 6782  (0.9988204069596)
Disponibilidad VARIADOR: 6782 / 6782  (1)
Disponibilidad LECTOR_QR_ENTRADA: 6753 / 6753  (1)
Disponibilidad LECTOR_QR_SALIDA: 6753 / 6753  (1)
Disponibilidad VTSC_ENTRADA: 6752 / 6782  (0.9955765260985)
Disponibilidad VTSC_SALIDA: 6781 / 6782  (0.99985255086995)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 108 / 109  (0.99082568807339)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-04 12:01:14
Numero MAVs: 59
Disponibilidad MAVs: 1448776 / 1479413  (0.97929111073108)
Disponibilidad PaySystem: 1447994 / 1478619  (0.9792881059962)
Disponibilidad Printer: 1468284 / 1478619  (0.99301036981129)
Disponibilidad RFID: 1475156 / 1479413  (0.99712250737286)
Disponibilidad PLC: 1475867 / 1479413  (0.99760310339303)
Disponibilidad Conexion: 1479413 / 1506977  (0.98170907717901)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 54 / 59  (0.91525423728814)
Disponibilidad Printer: 57 / 59  (0.96610169491525)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1021
Validaciones / Aperturas Ultima: 716 / 716  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.4.101	2		2		-0		0
 10.40.4.102	4		4		-0		0
 10.40.5.100	1		1		-0		0
 10.40.5.101	1		1		-0		0
 10.40.5.102	7		7		-0		0
 10.40.5.103	5		5		-0		0
 10.40.6.100	14		14		-0		0
 10.40.6.101	0		0		-0		0
 10.40.7.100	7		7		-0		0
 10.40.7.101	2		2		-0		0
 10.40.7.102	0		0		-0		0
 10.40.7.103	8		8		-0		0
 10.40.7.104	10		10		-0		0
 10.40.7.105	1		1		-0		0
 10.40.8.100	2		2		-0		0
 10.40.8.101	17		17		-0		0
 10.40.8.102	4		4		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	0		0		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-0		0
 10.40.11.100	0		-2		2
 10.40.11.101	0		-0		0
 10.40.11.102	0		-0		0
 10.40.12.100	0		-0		0
 10.40.12.101	0		-0		0
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-4		4
 10.40.13.105	0		-10		10
 10.40.15.100	0		-1		1
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-2		2
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-0		0
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-3		3
 10.40.23.102	0		-2		2
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-5		5
 10.40.30.101	0		-0		0
 10.40.4.100	0		-0		0
 10.40.4.101	0		-0		0
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-1		1
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-0		0
 10.40.9.101	0		-0		0
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-07-04 11:58:12
Validaciones	Puerta Abierta	Porc.
716	716	1
IP	Valid	Puert	Porc
10.40.1.100	27	27	1
10.40.1.101	17	17	1
10.40.1.102	14	14	1
10.40.1.103	14	14	1
10.40.1.104	15	15	1
10.40.1.105	14	14	1
10.40.1.106	9	9	1
10.40.1.107	0	0	NULL
10.40.1.108	16	16	1
10.40.1.109	49	49	1
10.40.1.110	26	26	1
10.40.1.111	33	33	1
10.40.1.112	42	42	1
10.40.1.113	27	27	1
10.40.10.100	11	11	1
10.40.10.101	10	10	1
10.40.11.100	1	1	1
10.40.11.101	12	12	1
10.40.11.102	6	6	1
10.40.12.100	3	3	1
10.40.12.101	5	5	1
10.40.12.102	0	0	NULL
10.40.13.100	4	4	1
10.40.13.101	6	6	1
10.40.13.102	10	10	1
10.40.13.103	31	31	1
10.40.13.104	44	44	1
10.40.13.105	21	21	1
10.40.15.100	0	0	NULL
10.40.15.101	0	0	NULL
10.40.16.100	1	1	1
10.40.16.101	5	5	1
10.40.17.100	5	5	1
10.40.17.101	12	12	1
10.40.17.102	16	16	1
10.40.18.100	16	16	1
10.40.18.101	11	11	1
10.40.18.102	9	9	1
10.40.2.100	0	0	NULL
10.40.2.101	0	0	NULL
10.40.20.100	1	1	1
10.40.20.101	5	5	1
10.40.21.100	10	10	1
10.40.21.101	12	12	1
10.40.21.102	17	17	1
10.40.21.103	7	7	1
10.40.22.100	3	3	1
10.40.22.101	4	4	1
10.40.22.102	1	1	1
10.40.22.103	4	4	1
10.40.23.100	5	5	1
10.40.23.101	5	5	1
10.40.23.102	2	2	1
10.40.23.103	2	2	1
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	0	0	NULL
10.40.25.101	1	1	1
10.40.25.102	2	2	1
10.40.25.103	0	0	NULL
10.40.26.100	0	0	NULL
10.40.26.101	0	0	NULL
10.40.26.102	0	0	NULL
10.40.26.103	1	1	1
10.40.27.100	0	0	NULL
