+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 10/07/2015 14:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-10 14:00:12
Numero BTs: 109
Disponibilidad MUEBLE: 791169 / 810600  (0.97602886750555)
Disponibilidad PUERTAS: 802050 / 810221  (0.9899150972389)
Disponibilidad FOTOCELULA: 806196 / 810221  (0.99503221960428)
Disponibilidad VARIADOR: 808645 / 810221  (0.99805485170096)
Disponibilidad LECTOR_QR_ENTRADA: 808304 / 809254  (0.99882607932738)
Disponibilidad LECTOR_QR_SALIDA: 808304 / 809254  (0.99882607932738)
Disponibilidad VTSC_ENTRADA: 809352 / 810607  (0.99845177749514)
Disponibilidad VTSC_SALIDA: 809568 / 810607  (0.99871824447605)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 7978 / 8096  (0.98542490118577)
Disponibilidad PUERTAS: 8088 / 8096  (0.99901185770751)
Disponibilidad FOTOCELULA: 8082 / 8096  (0.99827075098814)
Disponibilidad VARIADOR: 8088 / 8096  (0.99901185770751)
Disponibilidad LECTOR_QR_ENTRADA: 7964 / 7972  (0.99899648770697)
Disponibilidad LECTOR_QR_SALIDA: 7964 / 7972  (0.99899648770697)
Disponibilidad VTSC_ENTRADA: 8075 / 8096  (0.99740612648221)
Disponibilidad VTSC_SALIDA: 8088 / 8096  (0.99901185770751)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-10 14:01:14
Numero MAVs: 59
Disponibilidad MAVs: 1546925 / 1580315  (0.97887130097481)
Disponibilidad PaySystem: 1543574 / 1576876  (0.97888102805801)
Disponibilidad Printer: 1565842 / 1576876  (0.99300262037091)
Disponibilidad RFID: 1575634 / 1580315  (0.99703793231096)
Disponibilidad PLC: 1576446 / 1580315  (0.99755175392248)
Disponibilidad Conexion: 1580315 / 1621288  (0.97472811739802)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 55 / 59  (0.93220338983051)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1093
Validaciones / Aperturas Ultima: 1371 / 1372  (-0.00072939460247994)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.4.102	8		8		-0		0
 10.40.5.100	16		16		-0		0
 10.40.5.101	6		6		-0		0
 10.40.5.102	12		12		-0		0
 10.40.5.103	11		11		-0		0
 10.40.6.100	17		17		-0		0
 10.40.6.101	18		18		-0		0
 10.40.7.100	10		10		-0		0
 10.40.7.101	8		8		-0		0
 10.40.7.102	4		4		-0		0
 10.40.7.103	28		28		-0		0
 10.40.7.104	31		31		-0		0
 10.40.7.105	5		5		-0		0
 10.40.8.100	3		3		-0		0
 10.40.8.101	18		18		-0		0
 10.40.8.102	7		7		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	1		1		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-4		4
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-3		3
 10.40.12.100	0		-1		1
 10.40.12.101	0		-0		0
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-2		2
 10.40.13.104	0		-13		13
 10.40.13.105	0		-0		0
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-2		2
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-3		3
 10.40.2.101	0		-4		4
 10.40.20.100	0		-0		0
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-1		1
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-2		2
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-2		2
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-1		1
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-0		0
 10.40.30.101	0		-0		0
 10.40.4.100	0		-2		2
 10.40.4.101	0		-2		2
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-4		4
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-2		2
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-2		2
 10.40.9.101	0		-4		4
 10.40.9.102	0		-2		2
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-07-10 13:58:09
Validaciones	Puerta Abierta	Porc.
1371	1372	1.00072939460248
IP	Valid	Puert	Porc
10.40.1.100	49	49	1
10.40.1.101	40	40	1
10.40.1.102	29	29	1
10.40.1.103	30	30	1
10.40.1.104	29	29	1
10.40.1.105	25	25	1
10.40.1.106	14	14	1
10.40.1.107	33	33	1
10.40.1.108	92	92	1
10.40.1.109	56	56	1
10.40.1.110	48	48	1
10.40.1.111	58	58	1
10.40.1.112	55	55	1
10.40.1.113	43	43	1
10.40.10.100	13	13	1
10.40.10.101	24	24	1
10.40.11.100	7	7	1
10.40.11.101	26	26	1
10.40.11.102	10	10	1
10.40.12.100	12	12	1
10.40.12.101	10	10	1
10.40.12.102	0	0	NULL
10.40.13.100	8	8	1
10.40.13.101	12	12	1
10.40.13.102	20	20	1
10.40.13.103	50	50	1
10.40.13.104	64	64	1
10.40.13.105	36	36	1
10.40.15.100	0	0	NULL
10.40.15.101	0	0	NULL
10.40.16.100	1	1	1
10.40.16.101	3	3	1
10.40.17.100	8	8	1
10.40.17.101	17	17	1
10.40.17.102	13	13	1
10.40.18.100	9	10	1.11111111111111
10.40.18.101	13	13	1
10.40.18.102	8	8	1
10.40.2.100	0	0	NULL
10.40.2.101	0	0	NULL
10.40.20.100	5	5	1
10.40.20.101	7	7	1
10.40.21.100	11	11	1
10.40.21.101	14	14	1
10.40.21.102	30	30	1
10.40.21.103	20	20	1
10.40.22.100	20	20	1
10.40.22.101	14	14	1
10.40.22.102	7	7	1
10.40.22.103	4	4	1
10.40.23.100	0	0	NULL
10.40.23.101	0	0	NULL
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	5	5	1
10.40.25.101	11	11	1
10.40.25.102	4	4	1
10.40.25.103	2	2	1
10.40.26.100	5	5	1
10.40.26.101	2	2	1
10.40.26.102	1	1	1
10.40.26.103	3	3	1
10.40.27.100	2	2	1
10.40.27.101	2	2	1
10.40.27.102	5	5	1
10.40.27.103	3	3	1
