+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 10/07/2015 08:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-10 08:00:08
Numero BTs: 109
Disponibilidad MUEBLE: 787333 / 806695  (0.97599836369384)
Disponibilidad PUERTAS: 798177 / 806341  (0.98987525128947)
Disponibilidad FOTOCELULA: 802329 / 806342  (0.99502320355383)
Disponibilidad VARIADOR: 804772 / 806342  (0.99805293535497)
Disponibilidad LECTOR_QR_ENTRADA: 804431 / 805375  (0.99882787521341)
Disponibilidad LECTOR_QR_SALIDA: 804431 / 805375  (0.99882787521341)
Disponibilidad VTSC_ENTRADA: 805480 / 806728  (0.99845301018435)
Disponibilidad VTSC_SALIDA: 805695 / 806728  (0.9987195188465)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 4161 / 4217  (0.98672041735831)
Disponibilidad PUERTAS: 4215 / 4217  (0.99952572919137)
Disponibilidad FOTOCELULA: 4215 / 4217  (0.99952572919137)
Disponibilidad VARIADOR: 4215 / 4217  (0.99952572919137)
Disponibilidad LECTOR_QR_ENTRADA: 4091 / 4093  (0.99951136086)
Disponibilidad LECTOR_QR_SALIDA: 4091 / 4093  (0.99951136086)
Disponibilidad VTSC_ENTRADA: 4203 / 4217  (0.99668010433958)
Disponibilidad VTSC_SALIDA: 4215 / 4217  (0.99952572919137)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-10 08:01:14
Numero MAVs: 59
Disponibilidad MAVs: 1538885 / 1571998  (0.9789357238368)
Disponibilidad PaySystem: 1535534 / 1568559  (0.97894564374053)
Disponibilidad Printer: 1557553 / 1568559  (0.99298336881176)
Disponibilidad RFID: 1567342 / 1571998  (0.99703816417069)
Disponibilidad PLC: 1568169 / 1571998  (0.99756424626494)
Disponibilidad Conexion: 1571998 / 1612792  (0.97470597572409)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 58 / 59  (0.98305084745763)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1087
Validaciones / Aperturas Ultima: 1749 / 1750  (-0.00057175528873642)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.4.102	2		2		-0		0
 10.40.5.100	3		0		-0		1
 10.40.5.101	0		0		-0		0
 10.40.5.102	0		0		-0		0
 10.40.5.103	0		0		-0		0
 10.40.6.100	32		32		-0		0
 10.40.6.101	14		14		-0		0
 10.40.7.100	18		18		-0		0
 10.40.7.101	13		13		-0		0
 10.40.7.102	10		10		-0		0
 10.40.7.103	43		43		-0		0
 10.40.7.104	37		37		-0		0
 10.40.7.105	18		18		-0		0
 10.40.8.100	3		3		-0		0
 10.40.8.101	11		11		-0		0
 10.40.8.102	6		6		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	2		2		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-4		4
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-1		1
 10.40.11.102	0		-2		2
 10.40.12.100	0		-1		1
 10.40.12.101	0		-0		0
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-13		13
 10.40.13.105	0		-10		10
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-2		2
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-0		0
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-2		2
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-1		1
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-0		0
 10.40.30.101	0		-0		0
 10.40.4.100	0		-0		0
 10.40.4.101	0		-0		0
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-2		2
 10.40.6.100	0		-4		4
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-2		2
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-0		0
 10.40.9.101	0		-0		0
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-07-10 07:58:20
Validaciones	Puerta Abierta	Porc.
1749	1750	1.00057175528874
IP	Valid	Puert	Porc
10.40.1.100	71	71	1
10.40.1.101	62	62	1
10.40.1.102	58	58	1
10.40.1.103	45	45	1
10.40.1.104	49	49	1
10.40.1.105	43	43	1
10.40.1.106	29	29	1
10.40.1.107	21	21	1
10.40.1.108	59	59	1
10.40.1.109	58	58	1
10.40.1.110	59	59	1
10.40.1.111	100	100	1
10.40.1.112	73	73	1
10.40.1.113	81	81	1
10.40.10.100	33	33	1
10.40.10.101	30	30	1
10.40.11.100	4	4	1
10.40.11.101	38	38	1
10.40.11.102	0	0	NULL
10.40.12.100	37	37	1
10.40.12.101	13	13	1
10.40.12.102	0	0	NULL
10.40.13.100	2	2	1
10.40.13.101	9	9	1
10.40.13.102	40	40	1
10.40.13.103	86	86	1
10.40.13.104	103	103	1
10.40.13.105	32	32	1
10.40.15.100	3	3	1
10.40.15.101	2	2	1
10.40.16.100	4	4	1
10.40.16.101	8	8	1
10.40.17.100	0	0	NULL
10.40.17.101	0	0	NULL
10.40.17.102	0	0	NULL
10.40.18.100	1	1	1
10.40.18.101	0	0	NULL
10.40.18.102	1	1	1
10.40.2.100	0	0	NULL
10.40.2.101	0	0	NULL
10.40.20.100	7	7	1
10.40.20.101	10	10	1
10.40.21.100	16	16	1
10.40.21.101	41	41	1
10.40.21.102	0	0	NULL
10.40.21.103	17	17	1
10.40.22.100	24	24	1
10.40.22.101	26	26	1
10.40.22.102	17	21	1.23529411764706
10.40.22.103	6	6	1
10.40.23.100	0	0	NULL
10.40.23.101	0	0	NULL
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	2	2	1
10.40.25.101	1	1	1
10.40.25.102	15	15	1
10.40.25.103	14	14	1
10.40.26.100	2	2	1
10.40.26.101	1	1	1
10.40.26.102	13	13	1
10.40.26.103	14	14	1
10.40.27.100	0	0	NULL
10.40.27.101	0	0	NULL
10.40.27.102	3	3	1
