+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 25/07/2015 10:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-25 10:00:11
Numero BTs: 109
Disponibilidad MUEBLE: 1013441 / 1036465  (0.97778603233105)
Disponibilidad PUERTAS: 1025752 / 1036079  (0.99003261334319)
Disponibilidad FOTOCELULA: 1031395 / 1036079  (0.99547910921851)
Disponibilidad VARIADOR: 1033540 / 1036079  (0.99754941466819)
Disponibilidad LECTOR_QR_ENTRADA: 1033620 / 1034571  (0.9990807784096)
Disponibilidad LECTOR_QR_SALIDA: 1033620 / 1034571  (0.9990807784096)
Disponibilidad VTSC_ENTRADA: 1035196 / 1036465  (0.9987756460662)
Disponibilidad VTSC_SALIDA: 1035196 / 1036465  (0.9987756460662)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 6593 / 6635  (0.99366993217784)
Disponibilidad PUERTAS: 6635 / 6635  (1)
Disponibilidad FOTOCELULA: 6634 / 6635  (0.99984928409947)
Disponibilidad VARIADOR: 6635 / 6635  (1)
Disponibilidad LECTOR_QR_ENTRADA: 6635 / 6635  (1)
Disponibilidad LECTOR_QR_SALIDA: 6635 / 6635  (1)
Disponibilidad VTSC_ENTRADA: 6635 / 6635  (1)
Disponibilidad VTSC_SALIDA: 6635 / 6635  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-25 10:01:13
Numero MAVs: 59
Disponibilidad MAVs: 1999488 / 2053553  (0.97367245939111)
Disponibilidad PaySystem: 1994706 / 2048665  (0.97366138436494)
Disponibilidad Printer: 2026121 / 2048665  (0.98899576065389)
Disponibilidad RFID: 2046832 / 2053553  (0.99672713584699)
Disponibilidad PLC: 2049329 / 2053553  (0.99794307719353)
Disponibilidad Conexion: 2053553 / 2109666  (0.97340195083013)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1436
Validaciones / Aperturas Ultima: 671 / 673  (-0.0029806259314456)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.4.101	3		3		-0		0
 10.40.4.102	4		4		-0		0
 10.40.5.100	3		3		-0		0
 10.40.5.101	1		1		-0		0
 10.40.5.102	0		0		-0		0
 10.40.5.103	0		0		-0		0
 10.40.6.100	11		11		-0		0
 10.40.6.101	5		5		-0		0
 10.40.7.100	3		3		-0		0
 10.40.7.101	1		1		-0		0
 10.40.7.102	0		0		-0		0
 10.40.7.103	10		10		-0		0
 10.40.7.104	4		4		-0		0
 10.40.7.105	4		4		-0		0
 10.40.8.100	2		2		-0		0
 10.40.8.101	13		14		-0		-0.076923076923077
 10.40.8.102	5		5		-0		0
 10.40.9.100	1		1		-0		0
 10.40.9.101	0		0		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-6		6
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-2		2
 10.40.12.100	0		-3		3
 10.40.12.101	0		-0		0
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-4		4
 10.40.13.103	0		-0		0
 10.40.13.104	0		-0		0
 10.40.13.105	0		-2		2
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-0		0
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-0		0
 10.40.30.101	0		-0		0
 10.40.4.100	0		-0		0
 10.40.4.101	0		-4		4
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-2		2
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-0		0
 10.40.9.101	0		-0		0
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-07-25 09:57:59
Validaciones	Puerta Abierta	Porc.
671	673	1.00298062593145
IP	Valid	Puert	Porc
10.40.1.100	32	32	1
10.40.1.101	17	17	1
10.40.1.102	26	26	1
10.40.1.103	19	19	1
10.40.1.104	22	22	1
10.40.1.105	27	27	1
10.40.1.106	6	6	1
10.40.1.107	0	0	NULL
10.40.1.108	21	22	1.04761904761905
10.40.1.109	36	36	1
10.40.1.110	20	20	1
10.40.1.111	29	29	1
10.40.1.112	30	30	1
10.40.1.113	33	33	1
10.40.10.100	8	8	1
10.40.10.101	18	18	1
10.40.11.100	2	2	1
10.40.11.101	16	16	1
10.40.11.102	4	4	1
10.40.12.100	8	8	1
10.40.12.101	12	12	1
10.40.12.102	0	0	NULL
10.40.13.100	5	5	1
10.40.13.101	4	4	1
10.40.13.102	7	7	1
10.40.13.103	23	23	1
10.40.13.104	54	54	1
10.40.13.105	19	19	1
10.40.15.100	1	1	1
10.40.15.101	0	0	NULL
10.40.16.100	2	2	1
10.40.16.101	3	3	1
10.40.17.100	0	0	NULL
10.40.17.101	0	0	NULL
10.40.17.102	0	0	NULL
10.40.18.100	0	0	NULL
10.40.18.101	0	0	NULL
10.40.18.102	0	0	NULL
10.40.2.100	0	0	NULL
10.40.2.101	0	0	NULL
10.40.20.100	1	1	1
10.40.20.101	5	5	1
10.40.21.100	22	22	1
10.40.21.101	0	0	NULL
10.40.21.102	18	18	1
10.40.21.103	21	21	1
10.40.22.100	6	6	1
10.40.22.101	3	3	1
10.40.22.102	1	1	1
10.40.22.103	5	5	1
10.40.23.100	0	0	NULL
10.40.23.101	0	0	NULL
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	1	1	1
10.40.25.101	0	0	NULL
10.40.25.102	1	1	1
10.40.25.103	1	1	1
10.40.26.100	0	0	NULL
10.40.26.101	2	2	1
10.40.26.102	0	0	NULL
10.40.26.103	2	2	1
10.40.27.100	0	0	NULL
10.40.27.101	0	0	NULL
10.40.27.102	0	0	NULL
10.40.27.103	0	0	NULL
10.40.28.100	0	0	NULL
10.40.28.101	0	0	NULL
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	2	2	1
10.40.30.101	1	1	1
10.40.4.100	5	5	1
10.40.4.101	3	3	1
10.40.4.102	4	4	1
10.40.5.100	3	3	1
10.40.5.101	1	1	1
10.40.5.102	0	0	NULL
10.40.5.103	0	0	NULL
10.40.6.100	11	11	1
10.40.6.101	5	5	1
10.40.7.100	3	3	1
10.40.7.101	1	1	1
10.40.7.102	0	0	NULL
10.40.7.103	10	10	1
10.40.7.104	4	4	1
10.40.7.105	4	4	1
10.40.8.100	2	2	1
10.40.8.101	13	14	1.07692307692308
10.40.8.102	5	5	1
10.40.9.100	1	1	1
10.40.9.101	0	0	NULL
10.40.9.102	0	0	NULL
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
