+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 04/07/2015 13:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-04 13:00:10
Numero BTs: 109
Disponibilidad MUEBLE: 738559 / 756991  (0.97565096546722)
Disponibilidad PUERTAS: 748763 / 756620  (0.98961565911554)
Disponibilidad FOTOCELULA: 752731 / 756620  (0.99486003542069)
Disponibilidad VARIADOR: 755104 / 756620  (0.99799635219793)
Disponibilidad LECTOR_QR_ENTRADA: 755627 / 756529  (0.99880771259264)
Disponibilidad LECTOR_QR_SALIDA: 755627 / 756529  (0.99880771259264)
Disponibilidad VTSC_ENTRADA: 756049 / 757006  (0.9987358092274)
Disponibilidad VTSC_SALIDA: 756092 / 757006  (0.99879261194759)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 7249 / 7436  (0.97485207100592)
Disponibilidad PUERTAS: 7338 / 7436  (0.98682087143626)
Disponibilidad FOTOCELULA: 7428 / 7436  (0.99892415277031)
Disponibilidad VARIADOR: 7436 / 7436  (1)
Disponibilidad LECTOR_QR_ENTRADA: 7407 / 7407  (1)
Disponibilidad LECTOR_QR_SALIDA: 7407 / 7407  (1)
Disponibilidad VTSC_ENTRADA: 7400 / 7436  (0.99515868746638)
Disponibilidad VTSC_SALIDA: 7435 / 7436  (0.99986551909629)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 108 / 109  (0.99082568807339)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-04 13:01:13
Numero MAVs: 59
Disponibilidad MAVs: 1450036 / 1480805  (0.97922143698866)
Disponibilidad PaySystem: 1449254 / 1480011  (0.9792183977011)
Disponibilidad Printer: 1469616 / 1480011  (0.99297640355376)
Disponibilidad RFID: 1476548 / 1480805  (0.99712521230007)
Disponibilidad PLC: 1477259 / 1480805  (0.99760535654593)
Disponibilidad Conexion: 1480805 / 1508393  (0.98171033676237)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 54 / 59  (0.91525423728814)
Disponibilidad Printer: 57 / 59  (0.96610169491525)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1022
Validaciones / Aperturas Ultima: 682 / 680  (0.0029325513196481)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.4.102	1		1		-0		0
 10.40.5.100	5		5		-0		0
 10.40.5.101	1		1		-0		0
 10.40.5.102	3		3		-0		0
 10.40.5.103	4		4		-0		0
 10.40.6.100	4		4		-0		0
 10.40.6.101	0		0		-0		0
 10.40.7.100	6		6		-0		0
 10.40.7.101	2		2		-0		0
 10.40.7.102	1		1		-0		0
 10.40.7.103	12		12		-0		0
 10.40.7.104	6		6		-0		0
 10.40.7.105	11		11		-0		0
 10.40.8.100	3		3		-0		0
 10.40.8.101	15		15		-0		0
 10.40.8.102	10		10		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	0		0		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-0		0
 10.40.11.100	0		-2		2
 10.40.11.101	0		-0		0
 10.40.11.102	0		-0		0
 10.40.12.100	0		-0		0
 10.40.12.101	0		-0		0
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-4		4
 10.40.13.105	0		-10		10
 10.40.15.100	0		-1		1
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-3		3
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-0		0
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-3		3
 10.40.23.102	0		-2		2
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-0		0
 10.40.30.101	0		-0		0
 10.40.4.100	0		-0		0
 10.40.4.101	0		-0		0
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-1		1
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-0		0
 10.40.9.101	0		-0		0
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-07-04 12:58:12
Validaciones	Puerta Abierta	Porc.
682	680	0.997067448680352
IP	Valid	Puert	Porc
10.40.1.100	35	35	1
10.40.1.101	28	28	1
10.40.1.102	14	14	1
10.40.1.103	13	13	1
10.40.1.104	9	9	1
10.40.1.105	13	13	1
10.40.1.106	2	2	1
10.40.1.107	0	0	NULL
10.40.1.108	36	36	1
10.40.1.109	32	32	1
10.40.1.110	23	23	1
10.40.1.111	37	37	1
10.40.1.112	32	32	1
10.40.1.113	19	19	1
10.40.10.100	13	13	1
10.40.10.101	8	8	1
10.40.11.100	4	4	1
10.40.11.101	14	14	1
10.40.11.102	10	10	1
10.40.12.100	3	3	1
10.40.12.101	9	9	1
10.40.12.102	0	0	NULL
10.40.13.100	0	0	NULL
10.40.13.101	3	3	1
10.40.13.102	7	7	1
10.40.13.103	28	28	1
10.40.13.104	35	35	1
10.40.13.105	30	30	1
10.40.15.100	0	0	NULL
10.40.15.101	0	0	NULL
10.40.16.100	1	1	1
10.40.16.101	2	2	1
10.40.17.100	2	2	1
10.40.17.101	4	4	1
10.40.17.102	6	6	1
10.40.18.100	11	11	1
10.40.18.101	9	9	1
10.40.18.102	3	3	1
10.40.2.100	2	0	0
10.40.2.101	0	0	NULL
10.40.20.100	1	1	1
10.40.20.101	4	4	1
10.40.21.100	8	8	1
10.40.21.101	14	14	1
10.40.21.102	18	18	1
10.40.21.103	16	16	1
10.40.22.100	3	3	1
10.40.22.101	2	2	1
10.40.22.102	3	3	1
10.40.22.103	3	3	1
10.40.23.100	3	3	1
10.40.23.101	5	5	1
10.40.23.102	0	0	NULL
10.40.23.103	3	3	1
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	0	0	NULL
10.40.25.101	1	1	1
10.40.25.102	1	1	1
10.40.25.103	1	1	1
10.40.26.100	0	0	NULL
10.40.26.101	2	2	1
10.40.26.102	0	0	NULL
10.40.26.103	0	0	NULL
10.40.27.100	1	1	1
10.40.27.101	0	0	NULL
10.40.27.102	0	0	NULL
10.40.27.103	0	0	NULL
10.40.28.100	0	0	NULL
10.40.28.101	0	0	NULL
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	1	1	1
10.40.30.101	3	3	1
10.40.4.100	3	3	1
10.40.4.101	5	5	1
10.40.4.102	1	1	1
10.40.5.100	5	5	1
10.40.5.101	1	1	1
10.40.5.102	3	3	1
10.40.5.103	4	4	1
10.40.6.100	4	4	1
10.40.6.101	0	0	NULL
10.40.7.100	6	6	1
10.40.7.101	2	2	1
10.40.7.102	1	1	1
10.40.7.103	12	12	1
10.40.7.104	6	6	1
10.40.7.105	11	11	1
10.40.8.100	3	3	1
10.40.8.101	15	15	1
10.40.8.102	10	10	1
10.40.9.100	0	0	NULL
10.40.9.101	0	0	NULL
10.40.9.102	0	0	NULL
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
