+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 11/07/2015 23:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-11 23:00:09
Numero BTs: 109
Disponibilidad MUEBLE: 808557 / 828306  (0.97615736213428)
Disponibilidad PUERTAS: 819703 / 827931  (0.99006197376351)
Disponibilidad FOTOCELULA: 823728 / 827931  (0.99492349000098)
Disponibilidad VARIADOR: 826282 / 827931  (0.99800828813029)
Disponibilidad LECTOR_QR_ENTRADA: 825775 / 826725  (0.99885088753818)
Disponibilidad LECTOR_QR_SALIDA: 825775 / 826725  (0.99885088753818)
Disponibilidad VTSC_ENTRADA: 827062 / 828317  (0.99848487958113)
Disponibilidad VTSC_SALIDA: 827198 / 828317  (0.99864906792931)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 14609 / 14916  (0.97941807455082)
Disponibilidad PUERTAS: 14859 / 14916  (0.9961786001609)
Disponibilidad FOTOCELULA: 14741 / 14916  (0.98826763207294)
Disponibilidad VARIADOR: 14843 / 14916  (0.99510592652186)
Disponibilidad LECTOR_QR_ENTRADA: 14677 / 14677  (1)
Disponibilidad LECTOR_QR_SALIDA: 14677 / 14677  (1)
Disponibilidad VTSC_ENTRADA: 14916 / 14916  (1)
Disponibilidad VTSC_SALIDA: 14845 / 14916  (0.99524001072674)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 108 / 109  (0.99082568807339)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-11 23:01:12
Numero MAVs: 59
Disponibilidad MAVs: 1579583 / 1614796  (0.97819353032829)
Disponibilidad PaySystem: 1575846 / 1610953  (0.97820730958631)
Disponibilidad Printer: 1599075 / 1610953  (0.99262672467788)
Disponibilidad RFID: 1609809 / 1614796  (0.99691168420036)
Disponibilidad PLC: 1610927 / 1614796  (0.9976040317167)
Disponibilidad Conexion: 1614796 / 1658603  (0.97358801352705)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 54 / 59  (0.91525423728814)
Disponibilidad Printer: 56 / 59  (0.94915254237288)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1118
Validaciones / Aperturas Ultima: 482 / 482  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.4.102	0		0		-0		0
 10.40.5.100	5		5		-0		0
 10.40.5.101	1		1		-0		0
 10.40.5.102	1		1		-0		0
 10.40.5.103	0		0		-0		0
 10.40.6.100	3		3		-0		0
 10.40.6.101	9		9		-0		0
 10.40.7.100	4		4		-0		0
 10.40.7.101	0		0		-0		0
 10.40.7.102	1		1		-0		0
 10.40.7.103	2		2		-0		0
 10.40.7.104	2		2		-0		0
 10.40.7.105	0		0		-0		0
 10.40.8.100	17		17		-0		0
 10.40.8.101	0		0		-0		0
 10.40.8.102	27		27		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	0		0		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-0		0
 10.40.11.100	0		-2		2
 10.40.11.101	0		-0		0
 10.40.11.102	0		-0		0
 10.40.12.100	0		-0		0
 10.40.12.101	0		-1		1
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-1		1
 10.40.13.105	0		-7		7
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-2		2
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-4		4
 10.40.20.100	0		-1		1
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-2		2
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-2		2
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-0		0
 10.40.30.101	0		-0		0
 10.40.4.100	0		-0		0
 10.40.4.101	0		-0		0
 10.40.4.102	0		-4		4
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-1		1
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-2		2
 10.40.9.101	0		-4		4
 10.40.9.102	0		-2		2
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-07-11 22:58:08
Validaciones	Puerta Abierta	Porc.
482	482	1
IP	Valid	Puert	Porc
10.40.1.100	26	26	1
10.40.1.101	20	20	1
10.40.1.102	16	16	1
10.40.1.103	7	7	1
10.40.1.104	3	3	1
10.40.1.105	1	1	1
10.40.1.106	1	1	1
10.40.1.107	0	0	NULL
10.40.1.108	4	4	1
10.40.1.109	0	0	NULL
10.40.1.110	13	13	1
10.40.1.111	23	23	1
10.40.1.112	15	15	1
10.40.1.113	12	12	1
10.40.10.100	10	10	1
10.40.10.101	3	3	1
10.40.11.100	1	1	1
10.40.11.101	6	6	1
10.40.11.102	9	9	1
10.40.12.100	3	3	1
10.40.12.101	5	5	1
10.40.12.102	0	0	NULL
10.40.13.100	3	3	1
10.40.13.101	4	4	1
10.40.13.102	5	5	1
10.40.13.103	20	20	1
10.40.13.104	27	27	1
10.40.13.105	17	17	1
10.40.15.100	2	2	1
10.40.15.101	2	2	1
10.40.16.100	0	0	NULL
10.40.16.101	1	1	1
10.40.17.100	6	6	1
10.40.17.101	5	5	1
10.40.17.102	3	3	1
10.40.18.100	8	8	1
10.40.18.101	5	5	1
10.40.18.102	4	4	1
10.40.2.100	0	0	NULL
10.40.2.101	0	0	NULL
10.40.20.100	5	5	1
10.40.20.101	9	9	1
10.40.21.100	18	18	1
10.40.21.101	19	19	1
10.40.21.102	27	27	1
10.40.21.103	10	10	1
10.40.22.100	9	9	1
10.40.22.101	6	6	1
10.40.22.102	6	6	1
10.40.22.103	5	5	1
10.40.23.100	0	0	NULL
10.40.23.101	0	0	NULL
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	0	0	NULL
10.40.25.101	0	0	NULL
10.40.25.102	0	0	NULL
10.40.25.103	0	0	NULL
10.40.26.100	0	0	NULL
10.40.26.101	0	0	NULL
10.40.26.102	0	0	NULL
10.40.26.103	0	0	NULL
10.40.27.100	0	0	NULL
10.40.27.101	0	0	NULL
10.40.27.102	0	0	NULL
10.40.27.103	0	0	NULL
10.40.28.100	0	0	NULL
10.40.28.101	0	0	NULL
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	2	2	1
10.40.30.101	0	0	NULL
10.40.4.100	3	3	1
10.40.4.101	1	1	1
10.40.4.102	0	0	NULL
10.40.5.100	5	5	1
10.40.5.101	1	1	1
10.40.5.102	1	1	1
10.40.5.103	0	0	NULL
10.40.6.100	3	3	1
10.40.6.101	9	9	1
10.40.7.100	4	4	1
10.40.7.101	0	0	NULL
10.40.7.102	1	1	1
10.40.7.103	2	2	1
10.40.7.104	2	2	1
10.40.7.105	0	0	NULL
10.40.8.100	17	17	1
10.40.8.101	0	0	NULL
10.40.8.102	27	27	1
10.40.9.100	0	0	NULL
10.40.9.101	0	0	NULL
10.40.9.102	0	0	NULL
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
