+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 13/07/2015 19:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-13 19:00:11
Numero BTs: 109
Disponibilidad MUEBLE: 834937 / 855302  (0.9761896967387)
Disponibilidad PUERTAS: 846412 / 854924  (0.9900435594275)
Disponibilidad FOTOCELULA: 850410 / 854924  (0.99471999850279)
Disponibilidad VARIADOR: 853013 / 854924  (0.99776471358858)
Disponibilidad LECTOR_QR_ENTRADA: 852628 / 853578  (0.99888703785711)
Disponibilidad LECTOR_QR_SALIDA: 852628 / 853578  (0.99888703785711)
Disponibilidad VTSC_ENTRADA: 854051 / 855310  (0.9985280190808)
Disponibilidad VTSC_SALIDA: 854167 / 855310  (0.99866364242205)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 11621 / 11916  (0.97524337025848)
Disponibilidad PUERTAS: 11767 / 11916  (0.98749580396106)
Disponibilidad FOTOCELULA: 11786 / 11916  (0.98909029875797)
Disponibilidad VARIADOR: 11789 / 11916  (0.98934206109433)
Disponibilidad LECTOR_QR_ENTRADA: 11832 / 11832  (1)
Disponibilidad LECTOR_QR_SALIDA: 11832 / 11832  (1)
Disponibilidad VTSC_ENTRADA: 11915 / 11916  (0.99991607922122)
Disponibilidad VTSC_SALIDA: 11894 / 11916  (0.99815374286673)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 108 / 109  (0.99082568807339)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-13 19:01:15
Numero MAVs: 59
Disponibilidad MAVs: 1633352 / 1669740  (0.97820738558099)
Disponibilidad PaySystem: 1628914 / 1665196  (0.9782115738928)
Disponibilidad Printer: 1652857 / 1665196  (0.99259006147024)
Disponibilidad RFID: 1664581 / 1669740  (0.99691029741157)
Disponibilidad PLC: 1665871 / 1669740  (0.99768287278259)
Disponibilidad Conexion: 1669740 / 1716945  (0.97250639944786)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1159
Validaciones / Aperturas Ultima: 1168 / 1162  (0.0051369863013699)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.4.102	5		5		-0		0
 10.40.5.100	12		12		-0		0
 10.40.5.101	4		4		-0		0
 10.40.5.102	14		14		-0		0
 10.40.5.103	5		5		-0		0
 10.40.6.100	5		5		-0		0
 10.40.6.101	18		18		-0		0
 10.40.7.100	8		8		-0		0
 10.40.7.101	3		3		-0		0
 10.40.7.102	3		3		-0		0
 10.40.7.103	19		19		-0		0
 10.40.7.104	28		28		-0		0
 10.40.7.105	12		12		-0		0
 10.40.8.100	12		12		-0		0
 10.40.8.101	29		29		-0		0
 10.40.8.102	16		16		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	0		0		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-1		1
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-3		3
 10.40.12.100	0		-4		4
 10.40.12.101	0		-2		2
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-2		2
 10.40.13.104	0		-6		6
 10.40.13.105	0		-6		6
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-5		5
 10.40.20.100	0		-0		0
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-2		2
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-2		2
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-4		4
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-2		2
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-2		2
 10.40.29.103	0		-0		0
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-1		1
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-0		0
 10.40.30.101	0		-0		0
 10.40.4.100	0		-0		0
 10.40.4.101	0		-0		0
 10.40.4.102	0		-2		2
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-1		1
 10.40.5.103	0		-1		1
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-4		4
 10.40.9.100	0		-0		0
 10.40.9.101	0		-0		0
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-07-13 18:58:08
Validaciones	Puerta Abierta	Porc.
1168	1162	0.99486301369863
IP	Valid	Puert	Porc
10.40.1.100	40	40	1
10.40.1.101	31	31	1
10.40.1.102	24	24	1
10.40.1.103	12	12	1
10.40.1.104	12	12	1
10.40.1.105	12	12	1
10.40.1.106	11	11	1
10.40.1.107	25	25	1
10.40.1.108	80	80	1
10.40.1.109	76	76	1
10.40.1.110	37	37	1
10.40.1.111	43	43	1
10.40.1.112	40	40	1
10.40.1.113	46	46	1
10.40.10.100	14	14	1
10.40.10.101	25	25	1
10.40.11.100	1	1	1
10.40.11.101	32	32	1
10.40.11.102	12	12	1
10.40.12.100	6	6	1
10.40.12.101	7	7	1
10.40.12.102	0	0	NULL
10.40.13.100	8	8	1
10.40.13.101	11	11	1
10.40.13.102	47	47	1
10.40.13.103	56	56	1
10.40.13.104	73	73	1
10.40.13.105	36	36	1
10.40.15.100	0	0	NULL
10.40.15.101	0	0	NULL
10.40.16.100	3	3	1
10.40.16.101	2	2	1
10.40.17.100	4	4	1
10.40.17.101	9	9	1
10.40.17.102	5	5	1
10.40.18.100	8	8	1
10.40.18.101	6	0	0
10.40.18.102	0	0	NULL
10.40.2.100	0	0	NULL
10.40.2.101	0	0	NULL
10.40.20.100	1	1	1
10.40.20.101	13	13	1
10.40.21.100	9	9	1
10.40.21.101	14	14	1
10.40.21.102	15	15	1
10.40.21.103	8	8	1
10.40.22.100	5	5	1
10.40.22.101	7	7	1
10.40.22.102	6	6	1
10.40.22.103	2	2	1
10.40.23.100	0	0	NULL
10.40.23.101	0	0	NULL
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	2	2	1
10.40.25.101	6	6	1
10.40.25.102	1	1	1
10.40.25.103	0	0	NULL
10.40.26.100	7	7	1
10.40.26.101	4	4	1
10.40.26.102	2	2	1
10.40.26.103	2	2	1
10.40.27.100	2	2	1
10.40.27.101	2	2	1
10.40.27.102	0	0	NULL
10.40.27.103	0	0	NULL
10.40.28.100	0	0	NULL
10.40.28.101	0	0	NULL
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	1	1	1
10.40.3.103	0	0	NULL
10.40.30.100	2	2	1
10.40.30.101	4	4	1
10.40.4.100	4	4	1
10.40.4.101	2	2	1
10.40.4.102	5	5	1
10.40.5.100	12	12	1
10.40.5.101	4	4	1
10.40.5.102	14	14	1
10.40.5.103	5	5	1
10.40.6.100	5	5	1
10.40.6.101	18	18	1
10.40.7.100	8	8	1
10.40.7.101	3	3	1
10.40.7.102	3	3	1
10.40.7.103	19	19	1
10.40.7.104	28	28	1
10.40.7.105	12	12	1
10.40.8.100	12	12	1
10.40.8.101	29	29	1
10.40.8.102	16	16	1
10.40.9.100	0	0	NULL
10.40.9.101	0	0	NULL
10.40.9.102	0	0	NULL
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
