+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 05/08/2015 10:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-05 10:00:13
Numero BTs: 109
Disponibilidad MUEBLE: 1182808 / 1207870  (0.97925107834452)
Disponibilidad PUERTAS: 1196392 / 1207484  (0.99081395695512)
Disponibilidad FOTOCELULA: 1202144 / 1207484  (0.99557758115221)
Disponibilidad VARIADOR: 1204942 / 1207484  (0.99789479612152)
Disponibilidad LECTOR_QR_ENTRADA: 1205025 / 1205976  (0.99921142709308)
Disponibilidad LECTOR_QR_SALIDA: 1205025 / 1205976  (0.99921142709308)
Disponibilidad VTSC_ENTRADA: 1206583 / 1207870  (0.99893448798298)
Disponibilidad VTSC_SALIDA: 1206584 / 1207870  (0.99893531588664)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 6355 / 6527  (0.97364792400797)
Disponibilidad PUERTAS: 6420 / 6527  (0.98360655737705)
Disponibilidad FOTOCELULA: 6526 / 6527  (0.99984679025586)
Disponibilidad VARIADOR: 6527 / 6527  (1)
Disponibilidad LECTOR_QR_ENTRADA: 6527 / 6527  (1)
Disponibilidad LECTOR_QR_SALIDA: 6527 / 6527  (1)
Disponibilidad VTSC_ENTRADA: 6527 / 6527  (1)
Disponibilidad VTSC_SALIDA: 6527 / 6527  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 106 / 109  (0.97247706422018)
Disponibilidad PUERTAS: 107 / 109  (0.98165137614679)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-05 10:01:17
Numero MAVs: 59
Disponibilidad MAVs: 2346312 / 2417261  (0.97064901142243)
Disponibilidad PaySystem: 2341530 / 2412373  (0.97063347998009)
Disponibilidad Printer: 2383036 / 2412373  (0.98783894530406)
Disponibilidad RFID: 2404892 / 2417261  (0.99488305151988)
Disponibilidad PLC: 2412548 / 2417261  (0.99805027260192)
Disponibilidad Conexion: 2417261 / 2483386  (0.97337304792731)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1700
Validaciones / Aperturas Ultima: 1062 / 1065  (-0.0028248587570621)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.4.102	0		0		-0		0
 10.40.5.100	0		0		-0		0
 10.40.5.101	0		0		-0		0
 10.40.5.102	0		0		-0		0
 10.40.5.103	0		0		-0		0
 10.40.6.100	9		9		-0		0
 10.40.6.101	14		14		-0		0
 10.40.7.100	11		11		-0		0
 10.40.7.101	7		7		-0		0
 10.40.7.102	9		9		-0		0
 10.40.7.103	22		22		-0		0
 10.40.7.104	17		17		-0		0
 10.40.7.105	13		13		-0		0
 10.40.8.100	5		5		-0		0
 10.40.8.101	12		12		-0		0
 10.40.8.102	7		7		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	1		1		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-2		2
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-1		1
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-0		0
 10.40.12.100	0		-0		0
 10.40.12.101	0		-0		0
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-2		2
 10.40.13.105	0		-7		7
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-4		4
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-0		0
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-1		1
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-2		2
 10.40.3.102	0		-0		0
 10.40.3.103	0		-2		2
 10.40.30.100	0		-0		0
 10.40.30.101	0		-0		0
 10.40.4.100	0		-8		8
 10.40.4.101	0		-2		2
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-2		2
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-2		2
 10.40.7.102	0		-0		0
 10.40.7.103	0		-0		0
 10.40.7.104	0		-2		2
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-0		0
 10.40.9.101	0		-0		0
 10.40.9.102	0		-2		2
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-08-05 09:57:53
Validaciones	Puerta Abierta	Porc.
1062	1065	1.00282485875706
IP	Valid	Puert	Porc
10.40.1.100	50	50	1
10.40.1.101	43	43	1
10.40.1.102	30	30	1
10.40.1.103	29	29	1
10.40.1.104	36	36	1
10.40.1.105	35	35	1
10.40.1.106	20	20	1
10.40.1.107	38	39	1.02631578947368
10.40.1.108	0	0	NULL
10.40.1.109	50	50	1
10.40.1.110	27	27	1
10.40.1.111	47	47	1
10.40.1.112	39	39	1
10.40.1.113	35	35	1
10.40.10.100	20	20	1
10.40.10.101	17	17	1
10.40.11.100	5	5	1
10.40.11.101	22	22	1
10.40.11.102	3	3	1
10.40.12.100	10	10	1
10.40.12.101	7	7	1
10.40.12.102	0	0	NULL
10.40.13.100	8	8	1
10.40.13.101	9	9	1
10.40.13.102	23	23	1
10.40.13.103	49	49	1
10.40.13.104	65	65	1
10.40.13.105	52	52	1
10.40.15.100	0	0	NULL
10.40.15.101	0	0	NULL
10.40.16.100	7	7	1
10.40.16.101	6	6	1
10.40.17.100	0	0	NULL
10.40.17.101	0	0	NULL
10.40.17.102	0	0	NULL
10.40.18.100	1	2	2
10.40.18.101	0	0	NULL
10.40.18.102	2	2	1
10.40.2.100	0	0	NULL
10.40.2.101	0	0	NULL
10.40.20.100	11	11	1
10.40.20.101	16	16	1
10.40.21.100	8	8	1
10.40.21.101	25	25	1
10.40.21.102	34	34	1
10.40.21.103	20	20	1
10.40.22.100	12	12	1
10.40.22.101	8	8	1
10.40.22.102	3	3	1
10.40.22.103	1	1	1
10.40.23.100	0	0	NULL
10.40.23.101	0	0	NULL
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	2	2	1
10.40.25.101	0	0	NULL
10.40.25.102	0	0	NULL
10.40.25.103	0	0	NULL
10.40.26.100	0	0	NULL
10.40.26.101	2	2	1
10.40.26.102	0	0	NULL
10.40.26.103	0	0	NULL
10.40.27.100	3	3	1
10.40.27.101	1	1	1
10.40.27.102	1	1	1
10.40.27.103	0	0	NULL
10.40.28.100	0	0	NULL
10.40.28.101	0	0	NULL
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	1	1	1
10.40.30.101	2	2	1
10.40.4.100	0	0	NULL
10.40.4.101	0	1	NULL
10.40.4.102	0	0	NULL
10.40.5.100	0	0	NULL
10.40.5.101	0	0	NULL
10.40.5.102	0	0	NULL
10.40.5.103	0	0	NULL
10.40.6.100	9	9	1
10.40.6.101	14	14	1
10.40.7.100	11	11	1
10.40.7.101	7	7	1
10.40.7.102	9	9	1
10.40.7.103	22	22	1
10.40.7.104	17	17	1
10.40.7.105	13	13	1
10.40.8.100	5	5	1
10.40.8.101	12	12	1
10.40.8.102	7	7	1
10.40.9.100	0	0	NULL
10.40.9.101	1	1	1
10.40.9.102	0	0	NULL
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
