+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 06/08/2015 20:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-06 20:00:14
Numero BTs: 109
Disponibilidad MUEBLE: 1204367 / 1230085  (0.97909250173768)
Disponibilidad PUERTAS: 1218337 / 1229699  (0.99076034053862)
Disponibilidad FOTOCELULA: 1224313 / 1229699  (0.99562006637397)
Disponibilidad VARIADOR: 1227157 / 1229699  (0.99793282746428)
Disponibilidad LECTOR_QR_ENTRADA: 1227240 / 1228191  (0.99922569046671)
Disponibilidad LECTOR_QR_SALIDA: 1227240 / 1228191  (0.99922569046671)
Disponibilidad VTSC_ENTRADA: 1228798 / 1230085  (0.99895373083974)
Disponibilidad VTSC_SALIDA: 1228798 / 1230085  (0.99895373083974)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 12775 / 13168  (0.97015492102066)
Disponibilidad PUERTAS: 13010 / 13168  (0.98800121506683)
Disponibilidad FOTOCELULA: 13150 / 13168  (0.99863304981774)
Disponibilidad VARIADOR: 13168 / 13168  (1)
Disponibilidad LECTOR_QR_ENTRADA: 13168 / 13168  (1)
Disponibilidad LECTOR_QR_SALIDA: 13168 / 13168  (1)
Disponibilidad VTSC_ENTRADA: 13168 / 13168  (1)
Disponibilidad VTSC_SALIDA: 13167 / 13168  (0.99992405832321)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 106 / 109  (0.97247706422018)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-06 20:01:15
Numero MAVs: 59
Disponibilidad MAVs: 2391622 / 2464571  (0.9704009338745)
Disponibilidad PaySystem: 2386840 / 2459683  (0.9703852081752)
Disponibilidad Printer: 2429682 / 2459683  (0.98780289980457)
Disponibilidad RFID: 2451238 / 2464571  (0.99459013353642)
Disponibilidad PLC: 2459818 / 2464571  (0.99807146963914)
Disponibilidad Conexion: 2464571 / 2531530  (0.97354998755693)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1734
Validaciones / Aperturas Ultima: 999 / 998  (0.001001001001001)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.4.102	0		0		-0		0
 10.40.5.100	0		0		-0		0
 10.40.5.101	0		0		-0		0
 10.40.5.102	0		0		-0		0
 10.40.5.103	0		0		-0		0
 10.40.6.100	10		10		-0		0
 10.40.6.101	7		7		-0		0
 10.40.7.100	11		11		-0		0
 10.40.7.101	5		5		-0		0
 10.40.7.102	4		4		-0		0
 10.40.7.103	22		22		-0		0
 10.40.7.104	22		22		-0		0
 10.40.7.105	12		12		-0		0
 10.40.8.100	10		10		-0		0
 10.40.8.101	22		22		-0		0
 10.40.8.102	22		22		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	0		0		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-1		1
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-3		3
 10.40.10.101	0		-0		0
 10.40.11.100	0		-6		6
 10.40.11.101	0		-0		0
 10.40.11.102	0		-0		0
 10.40.12.100	0		-0		0
 10.40.12.101	0		-0		0
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-11		11
 10.40.13.105	0		-20		20
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-0		0
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-2		2
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-2		2
 10.40.30.101	0		-0		0
 10.40.4.100	0		-0		0
 10.40.4.101	0		-0		0
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-8		8
 10.40.5.103	0		-1		1
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-2		2
 10.40.7.102	0		-2		2
 10.40.7.103	0		-2		2
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-0		0
 10.40.9.101	0		-4		4
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-08-06 19:57:53
Validaciones	Puerta Abierta	Porc.
999	998	0.998998998998999
IP	Valid	Puert	Porc
10.40.1.100	50	50	1
10.40.1.101	37	37	1
10.40.1.102	24	24	1
10.40.1.103	24	24	1
10.40.1.104	22	22	1
10.40.1.105	20	20	1
10.40.1.106	6	6	1
10.40.1.107	2	2	1
10.40.1.108	0	0	NULL
10.40.1.109	122	121	0.991803278688525
10.40.1.110	59	59	1
10.40.1.111	43	43	1
10.40.1.112	41	41	1
10.40.1.113	42	42	1
10.40.10.100	3	3	1
10.40.10.101	12	12	1
10.40.11.100	5	5	1
10.40.11.101	25	25	1
10.40.11.102	3	3	1
10.40.12.100	5	5	1
10.40.12.101	6	6	1
10.40.12.102	0	0	NULL
10.40.13.100	5	5	1
10.40.13.101	9	9	1
10.40.13.102	29	29	1
10.40.13.103	47	47	1
10.40.13.104	56	56	1
10.40.13.105	38	38	1
10.40.15.100	0	0	NULL
10.40.15.101	2	2	1
10.40.16.100	1	1	1
10.40.16.101	4	4	1
10.40.17.100	0	0	NULL
10.40.17.101	0	0	NULL
10.40.17.102	0	0	NULL
10.40.18.100	1	1	1
10.40.18.101	0	0	NULL
10.40.18.102	0	0	NULL
10.40.2.100	0	0	NULL
10.40.2.101	0	0	NULL
10.40.20.100	6	6	1
10.40.20.101	13	13	1
10.40.21.100	8	8	1
10.40.21.101	13	13	1
10.40.21.102	16	16	1
10.40.21.103	8	8	1
10.40.22.100	11	11	1
10.40.22.101	10	10	1
10.40.22.102	10	10	1
10.40.22.103	6	6	1
10.40.23.100	0	0	NULL
10.40.23.101	0	0	NULL
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	0	0	NULL
10.40.25.101	0	0	NULL
10.40.25.102	0	0	NULL
10.40.25.103	0	0	NULL
10.40.26.100	0	0	NULL
10.40.26.101	0	0	NULL
10.40.26.102	0	0	NULL
10.40.26.103	0	0	NULL
10.40.27.100	1	1	1
10.40.27.101	1	1	1
10.40.27.102	0	0	NULL
