+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 09/08/2015 07:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-09 07:00:17
Numero BTs: 109
Disponibilidad MUEBLE: 1241980 / 1268078  (0.97941924708102)
Disponibilidad PUERTAS: 1256284 / 1267692  (0.99100096868956)
Disponibilidad FOTOCELULA: 1262283 / 1267692  (0.99573319071194)
Disponibilidad VARIADOR: 1265150 / 1267692  (0.99799478106669)
Disponibilidad LECTOR_QR_ENTRADA: 1265233 / 1266184  (0.99924892432695)
Disponibilidad LECTOR_QR_SALIDA: 1265233 / 1266184  (0.99924892432695)
Disponibilidad VTSC_ENTRADA: 1266785 / 1268078  (0.99898034663483)
Disponibilidad VTSC_SALIDA: 1266790 / 1268078  (0.99898428960995)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 4584 / 4584  (1)
Disponibilidad PUERTAS: 4584 / 4584  (1)
Disponibilidad FOTOCELULA: 4584 / 4584  (1)
Disponibilidad VARIADOR: 4584 / 4584  (1)
Disponibilidad LECTOR_QR_ENTRADA: 4584 / 4584  (1)
Disponibilidad LECTOR_QR_SALIDA: 4584 / 4584  (1)
Disponibilidad VTSC_ENTRADA: 4584 / 4584  (1)
Disponibilidad VTSC_SALIDA: 4583 / 4584  (0.99978184991274)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-09 07:01:12
Numero MAVs: 59
Disponibilidad MAVs: 2469087 / 2546568  (0.96957434476519)
Disponibilidad PaySystem: 2464305 / 2541680  (0.96955753674735)
Disponibilidad Printer: 2509888 / 2541680  (0.98749173774826)
Disponibilidad RFID: 2531791 / 2546568  (0.9941972882719)
Disponibilidad PLC: 2541815 / 2546568  (0.99813356643137)
Disponibilidad Conexion: 2546568 / 2615068  (0.97380565247252)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1793
Validaciones / Aperturas Ultima: 93 / 93  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-2		2
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-0		0
 10.40.30.101	0		-0		0
 10.40.4.100	0		-0		0
 10.40.4.101	0		-2		2
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-2		2
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-0		0
 10.40.9.101	0		-0		0
 10.40.9.102	0		-2		2
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-08-09 06:58:13
Validaciones	Puerta Abierta	Porc.
93	93	1
IP	Valid	Puert	Porc
10.40.1.100	3	3	1
10.40.1.101	0	0	NULL
10.40.1.102	2	2	1
10.40.1.103	1	1	1
10.40.1.104	0	0	NULL
10.40.1.105	2	2	1
10.40.1.106	1	1	1
10.40.1.107	6	6	1
10.40.1.108	8	8	1
10.40.1.109	11	11	1
10.40.1.110	6	6	1
10.40.1.111	2	2	1
10.40.1.112	2	2	1
10.40.1.113	2	2	1
10.40.10.100	0	0	NULL
10.40.10.101	0	0	NULL
10.40.11.100	0	0	NULL
10.40.11.101	4	4	1
10.40.11.102	1	1	1
10.40.12.100	0	0	NULL
10.40.12.101	0	0	NULL
10.40.12.102	0	0	NULL
10.40.13.100	2	2	1
10.40.13.101	3	3	1
10.40.13.102	2	2	1
10.40.13.103	12	12	1
10.40.13.104	14	14	1
10.40.13.105	3	3	1
10.40.15.100	0	0	NULL
10.40.15.101	0	0	NULL
10.40.16.100	0	0	NULL
10.40.16.101	1	1	1
10.40.17.100	0	0	NULL
10.40.17.101	0	0	NULL
10.40.17.102	0	0	NULL
10.40.18.100	0	0	NULL
10.40.18.101	0	0	NULL
10.40.18.102	0	0	NULL
10.40.2.100	0	0	NULL
10.40.2.101	0	0	NULL
10.40.20.100	0	0	NULL
10.40.20.101	0	0	NULL
10.40.21.100	0	0	NULL
10.40.21.101	0	0	NULL
10.40.21.102	0	0	NULL
10.40.21.103	0	0	NULL
10.40.22.100	1	1	1
10.40.22.101	1	1	1
10.40.22.102	1	1	1
10.40.22.103	1	1	1
10.40.23.100	0	0	NULL
10.40.23.101	0	0	NULL
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	0	0	NULL
10.40.25.101	0	0	NULL
10.40.25.102	0	0	NULL
10.40.25.103	0	0	NULL
10.40.26.100	0	0	NULL
10.40.26.101	0	0	NULL
10.40.26.102	0	0	NULL
10.40.26.103	0	0	NULL
10.40.27.100	0	0	NULL
10.40.27.101	0	0	NULL
10.40.27.102	0	0	NULL
10.40.27.103	0	0	NULL
10.40.28.100	0	0	NULL
10.40.28.101	0	0	NULL
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	0	0	NULL
10.40.30.101	0	0	NULL
10.40.4.100	0	0	NULL
10.40.4.101	0	0	NULL
10.40.4.102	0	0	NULL
10.40.5.100	0	0	NULL
10.40.5.101	0	0	NULL
10.40.5.102	0	0	NULL
10.40.5.103	0	0	NULL
10.40.6.100	0	0	NULL
10.40.6.101	0	0	NULL
10.40.7.100	0	0	NULL
10.40.7.101	0	0	NULL
10.40.7.102	0	0	NULL
10.40.7.103	0	0	NULL
10.40.7.104	0	0	NULL
10.40.7.105	0	0	NULL
10.40.8.100	0	0	NULL
10.40.8.101	0	0	NULL
10.40.8.102	1	1	1
10.40.9.100	0	0	NULL
10.40.9.101	0	0	NULL
10.40.9.102	0	0	NULL
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
