+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 21/09/2015 11:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-21 11:00:21
Numero BTs: 109
Disponibilidad MUEBLE: 1810482 / 1847557  (0.97993296011977)
Disponibilidad PUERTAS: 1831537 / 1847171  (0.99153624650885)
Disponibilidad FOTOCELULA: 1838137 / 1847171  (0.99510927791742)
Disponibilidad VARIADOR: 1842430 / 1847171  (0.99743337243818)
Disponibilidad LECTOR_QR_ENTRADA: 1844688 / 1845663  (0.99947173454742)
Disponibilidad LECTOR_QR_SALIDA: 1844688 / 1845663  (0.99947173454742)
Disponibilidad VTSC_ENTRADA: 1846199 / 1847557  (0.99926497531605)
Disponibilidad VTSC_SALIDA: 1845525 / 1847557  (0.99890016925053)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 6549 / 6998  (0.93583881108888)
Disponibilidad PUERTAS: 6633 / 6998  (0.94784224064018)
Disponibilidad FOTOCELULA: 6919 / 6998  (0.98871106030294)
Disponibilidad VARIADOR: 6807 / 6998  (0.97270648756788)
Disponibilidad LECTOR_QR_ENTRADA: 6998 / 6998  (1)
Disponibilidad LECTOR_QR_SALIDA: 6998 / 6998  (1)
Disponibilidad VTSC_ENTRADA: 6998 / 6998  (1)
Disponibilidad VTSC_SALIDA: 6996 / 6998  (0.9997142040583)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-21 11:01:17
Numero MAVs: 59
Disponibilidad MAVs: 3658194 / 3808380  (0.96056433444142)
Disponibilidad PaySystem: 3653442 / 3803520  (0.96054233972741)
Disponibilidad Printer: 3746681 / 3803542  (0.98505051344247)
Disponibilidad RFID: 3771830 / 3808459  (0.99038219920446)
Disponibilidad PLC: 3801395 / 3808468  (0.99814282278333)
Disponibilidad Conexion: 3808468 / 3905650  (0.97511758606122)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 55 / 59  (0.93220338983051)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 57 / 59  (0.96610169491525)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2704
Validaciones / Aperturas Ultima: 1334 / 1334  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.4.102	9		9		-0		0
 10.40.5.100	6		6		-0		0
 10.40.5.101	1		1		-0		0
 10.40.5.102	7		7		-0		0
 10.40.5.103	5		5		-0		0
 10.40.6.100	10		10		-0		0
 10.40.6.101	14		14		-0		0
 10.40.7.100	8		8		-0		0
 10.40.7.101	2		2		-0		0
 10.40.7.102	4		4		-0		0
 10.40.7.103	13		13		-0		0
 10.40.7.104	13		13		-0		0
 10.40.7.105	9		9		-0		0
 10.40.8.100	5		5		-0		0
 10.40.8.101	18		18		-0		0
 10.40.8.102	0		0		-0		0
 10.40.9.100	3		3		-0		0
 10.40.9.101	31		31		-0		0
 10.40.9.102	11		11		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-0		0
 10.40.12.100	0		-0		0
 10.40.12.101	0		-5		5
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-2		2
 10.40.13.105	0		-2		2
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-5		5
 10.40.20.101	0		-7		7
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-2		2
 10.40.23.100	0		-7		7
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-1		1
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-2		2
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-6		6
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-0		0
 10.40.30.101	0		-2		2
 10.40.4.100	0		-2		2
 10.40.4.101	0		-0		0
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-1		1
 10.40.8.102	0		-0		0
 10.40.9.100	0		-0		0
 10.40.9.101	0		-0		0
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-09-21 10:59:33
Validaciones	Puerta Abierta	Porc.
1334	1334	1
IP	Valid	Puert	Porc
10.40.1.100	73	73	1
10.40.1.101	52	52	1
10.40.1.102	42	42	1
10.40.1.103	33	33	1
10.40.1.104	29	29	1
10.40.1.105	39	39	1
10.40.1.106	27	27	1
10.40.1.107	35	35	1
10.40.1.108	0	0	NULL
10.40.1.109	45	45	1
10.40.1.110	38	38	1
10.40.1.111	75	75	1
10.40.1.112	63	63	1
10.40.1.113	46	46	1
10.40.10.100	9	9	1
10.40.10.101	12	12	1
10.40.11.100	0	0	NULL
10.40.11.101	24	24	1
10.40.11.102	17	17	1
10.40.12.100	10	10	1
10.40.12.101	18	18	1
10.40.12.102	0	0	NULL
10.40.13.100	1	1	1
10.40.13.101	0	0	NULL
10.40.13.102	15	15	1
10.40.13.103	56	56	1
10.40.13.104	58	58	1
10.40.13.105	33	33	1
10.40.15.100	0	0	NULL
10.40.15.101	0	0	NULL
10.40.16.100	1	1	1
10.40.16.101	7	7	1
10.40.17.100	11	11	1
10.40.17.101	11	11	1
10.40.17.102	8	8	1
10.40.18.100	18	18	1
10.40.18.101	8	8	1
10.40.18.102	3	3	1
10.40.2.100	4	4	1
10.40.2.101	5	5	1
10.40.20.100	8	8	1
10.40.20.101	11	11	1
10.40.21.100	5	5	1
10.40.21.101	21	21	1
10.40.21.102	30	30	1
10.40.21.103	17	17	1
10.40.22.100	17	17	1
10.40.22.101	8	8	1
10.40.22.102	0	0	NULL
10.40.22.103	6	6	1
10.40.23.100	4	4	1
10.40.23.101	8	8	1
10.40.23.102	10	10	1
10.40.23.103	9	9	1
10.40.24.100	1	1	1
10.40.24.101	6	6	1
10.40.24.102	0	0	NULL
10.40.24.103	1	1	1
10.40.25.100	0	0	NULL
10.40.25.101	7	7	1
10.40.25.102	6	6	1
10.40.25.103	0	0	NULL
10.40.26.100	3	3	1
10.40.26.101	3	3	1
10.40.26.102	5	5	1
10.40.26.103	4	4	1
10.40.27.100	0	0	NULL
10.40.27.101	5	5	1
10.40.27.102	3	3	1
10.40.27.103	3	3	1
10.40.28.100	0	0	NULL
10.40.28.101	1	1	1
10.40.28.102	5	5	1
10.40.28.103	6	6	1
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	10	10	1
10.40.30.101	3	3	1
10.40.4.100	10	10	1
10.40.4.101	3	3	1
10.40.4.102	9	9	1
10.40.5.100	6	6	1
10.40.5.101	1	1	1
10.40.5.102	7	7	1
10.40.5.103	5	5	1
10.40.6.100	10	10	1
10.40.6.101	14	14	1
10.40.7.100	8	8	1
10.40.7.101	2	2	1
10.40.7.102	4	4	1
10.40.7.103	13	13	1
10.40.7.104	13	13	1
10.40.7.105	9	9	1
10.40.8.100	5	5	1
10.40.8.101	18	18	1
10.40.8.102	0	0	NULL
10.40.9.100	3	3	1
10.40.9.101	31	31	1
10.40.9.102	11	11	1
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
