+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 23/09/2015 22:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-23 22:00:31
Numero BTs: 109
Disponibilidad MUEBLE: 1847745 / 1885184  (0.98014040008827)
Disponibilidad PUERTAS: 1868886 / 1884798  (0.99155771599927)
Disponibilidad FOTOCELULA: 1875709 / 1884798  (0.99517773257399)
Disponibilidad VARIADOR: 1879998 / 1884798  (0.99745330799375)
Disponibilidad LECTOR_QR_ENTRADA: 1882314 / 1883290  (0.99948175798735)
Disponibilidad LECTOR_QR_SALIDA: 1882314 / 1883290  (0.99948175798735)
Disponibilidad VTSC_ENTRADA: 1883822 / 1885184  (0.99927752410375)
Disponibilidad VTSC_SALIDA: 1883150 / 1885184  (0.99892106022542)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 13976 / 14145  (0.98805231530576)
Disponibilidad PUERTAS: 14025 / 14145  (0.9915164369035)
Disponibilidad FOTOCELULA: 14113 / 14145  (0.9977377165076)
Disponibilidad VARIADOR: 14087 / 14145  (0.99589961117002)
Disponibilidad LECTOR_QR_ENTRADA: 14145 / 14145  (1)
Disponibilidad LECTOR_QR_SALIDA: 14145 / 14145  (1)
Disponibilidad VTSC_ENTRADA: 14143 / 14145  (0.99985860728173)
Disponibilidad VTSC_SALIDA: 14144 / 14145  (0.99992930364086)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-23 22:06:13
Numero MAVs: 59
Disponibilidad MAVs: 3737733 / 3890469  (0.96074098007207)
Disponibilidad PaySystem: 3732951 / 3885581  (0.96071887318782)
Disponibilidad Printer: 3827735 / 3885581  (0.98511265110675)
Disponibilidad RFID: 3853691 / 3890471  (0.99054613181797)
Disponibilidad PLC: 3882456 / 3890523  (0.99792649985619)
Disponibilidad Conexion: 3890558 / 3989285  (0.97525195617761)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2763
Validaciones / Aperturas Ultima: 773 / 772  (0.0012936610608021)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.5.100	3		3		-0		0
 10.40.5.101	2		2		-0		0
 10.40.5.102	0		0		-0		0
 10.40.5.103	0		0		-0		0
 10.40.6.100	15		15		-0		0
 10.40.6.101	18		18		-0		0
 10.40.7.100	4		4		-0		0
 10.40.7.101	2		2		-0		0
 10.40.7.102	3		3		-0		0
 10.40.7.103	13		13		-0		0
 10.40.7.104	7		7		-0		0
 10.40.7.105	5		5		-0		0
 10.40.8.100	0		0		-0		0
 10.40.8.101	5		5		-0		0
 10.40.8.102	10		10		-0		0
 10.40.9.100	4		4		-0		0
 10.40.9.101	13		13		-0		0
 10.40.9.102	9		9		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-2		2
 10.40.1.102	0		-2		2
 10.40.1.103	0		-0		0
 10.40.1.104	0		-1		1
 10.40.1.105	0		-1		1
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-1		1
 10.40.1.111	0		-1		1
 10.40.1.112	0		-1		1
 10.40.1.113	0		-1		1
 10.40.10.100	0		-3		3
 10.40.10.101	0		-1		1
 10.40.11.100	0		-1		1
 10.40.11.101	0		-1		1
 10.40.11.102	0		-3		3
 10.40.12.100	0		-1		1
 10.40.12.101	0		-4		4
 10.40.12.102	0		-2		2
 10.40.13.100	0		-1		1
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-0		0
 10.40.13.105	0		-2		2
 10.40.15.100	0		-1		1
 10.40.15.101	0		-1		1
 10.40.16.100	0		-1		1
 10.40.16.101	0		-0		0
 10.40.17.100	0		-1		1
 10.40.17.101	0		-2		2
 10.40.17.102	0		-1		1
 10.40.18.100	0		-1		1
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-19		19
 10.40.2.101	0		-1		1
 10.40.20.100	0		-0		0
 10.40.20.101	0		-0		0
 10.40.21.100	0		-1		1
 10.40.21.101	0		-1		1
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-1		1
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-3		3
 10.40.23.100	0		-2		2
 10.40.23.101	0		-1		1
 10.40.23.102	0		-1		1
 10.40.23.103	0		-1		1
 10.40.24.100	0		-3		3
 10.40.24.101	0		-1		1
 10.40.24.102	0		-4		4
 10.40.24.103	0		-0		0
 10.40.25.100	0		-1		1
 10.40.25.101	0		-1		1
 10.40.25.102	0		-1		1
 10.40.25.103	0		-1		1
 10.40.26.100	0		-1		1
 10.40.26.101	0		-3		3
 10.40.26.102	0		-1		1
 10.40.26.103	0		-1		1
 10.40.27.100	0		-1		1
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-2		2
 10.40.28.100	0		-0		0
 10.40.28.101	0		-1		1
 10.40.28.102	0		-1		1
 10.40.28.103	0		-1		1
 10.40.29.100	0		-1		1
 10.40.29.101	0		-1		1
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-1		1
 10.40.29.105	0		-1		1
 10.40.29.106	0		-1		1
 10.40.29.107	0		-1		1
 10.40.3.100	0		-1		1
 10.40.3.101	0		-0		0
 10.40.3.102	0		-2		2
 10.40.3.103	0		-0		0
 10.40.30.100	0		-1		1
 10.40.30.101	0		-5		5
 10.40.4.100	0		-1		1
 10.40.4.101	0		-1		1
 10.40.4.102	0		-1		1
 10.40.5.100	0		-1		1
 10.40.5.101	0		-1		1
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-2		2
 10.40.6.101	0		-2		2
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-5		5
 10.40.7.103	0		-1		1
 10.40.7.104	0		-2		2
 10.40.7.105	0		-2		2
 10.40.8.100	0		-0		0
 10.40.8.101	0		-1		1
 10.40.8.102	0		-0		0
 10.40.9.100	0		-1		1
 10.40.9.101	0		-1		1
 10.40.9.102	0		-1		1
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-09-23 21:59:12
Validaciones	Puerta Abierta	Porc.
773	772	0.998706338939198
IP	Valid	Puert	Porc
10.40.1.100	22	22	1
10.40.1.101	9	9	1
10.40.1.102	13	13	1
10.40.1.103	26	26	1
10.40.1.104	23	23	1
10.40.1.105	25	25	1
10.40.1.106	10	10	1
10.40.1.107	1	1	1
10.40.1.108	47	47	1
10.40.1.109	29	29	1
10.40.1.110	19	19	1
10.40.1.111	23	23	1
10.40.1.112	22	22	1
10.40.1.113	20	20	1
10.40.10.100	4	4	1
10.40.10.101	4	4	1
10.40.11.100	3	3	1
10.40.11.101	9	9	1
10.40.11.102	17	17	1
10.40.12.100	2	2	1
10.40.12.101	1	1	1
10.40.12.102	0	0	NULL
10.40.13.100	9	9	1
10.40.13.101	5	5	1
10.40.13.102	31	31	1
10.40.13.103	0	0	NULL
10.40.13.104	49	49	1
10.40.13.105	32	32	1
10.40.15.100	3	3	1
10.40.15.101	0	0	NULL
10.40.16.100	0	0	NULL
10.40.16.101	1	1	1
10.40.17.100	8	8	1
10.40.17.101	7	7	1
10.40.17.102	2	2	1
10.40.18.100	14	14	1
10.40.18.101	6	6	1
10.40.18.102	4	4	1
10.40.2.100	3	3	1
10.40.2.101	1	1	1
10.40.20.100	4	4	1
10.40.20.101	3	3	1
10.40.21.100	9	9	1
10.40.21.101	10	10	1
10.40.21.102	16	16	1
10.40.21.103	7	7	1
10.40.22.100	9	9	1
10.40.22.101	5	5	1
10.40.22.102	3	3	1
10.40.22.103	3	3	1
10.40.23.100	8	8	1
10.40.23.101	2	2	1
10.40.23.102	3	3	1
10.40.23.103	1	1	1
10.40.24.100	0	0	NULL
10.40.24.101	1	1	1
10.40.24.102	0	0	NULL
10.40.24.103	1	1	1
10.40.25.100	5	5	1
10.40.25.101	1	1	1
10.40.25.102	0	0	NULL
10.40.25.103	0	0	NULL
10.40.26.100	0	0	NULL
10.40.26.101	1	1	1
10.40.26.102	0	0	NULL
10.40.26.103	0	0	NULL
10.40.27.100	0	0	NULL
10.40.27.101	0	0	NULL
10.40.27.102	1	1	1
10.40.27.103	0	0	NULL
10.40.28.100	7	7	1
10.40.28.101	1	1	1
10.40.28.102	0	0	NULL
