+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 21/09/2015 08:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-21 08:00:21
Numero BTs: 109
Disponibilidad MUEBLE: 1808648 / 1845661  (0.97994593806772)
Disponibilidad PUERTAS: 1829669 / 1845275  (0.99154272398423)
Disponibilidad FOTOCELULA: 1836271 / 1845275  (0.99512051049302)
Disponibilidad VARIADOR: 1840534 / 1845275  (0.99743073525626)
Disponibilidad LECTOR_QR_ENTRADA: 1842792 / 1843767  (0.99947119131647)
Disponibilidad LECTOR_QR_SALIDA: 1842792 / 1843767  (0.99947119131647)
Disponibilidad VTSC_ENTRADA: 1844303 / 1845661  (0.99926422024413)
Disponibilidad VTSC_SALIDA: 1843630 / 1845661  (0.99889958123404)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 4715 / 5102  (0.92414739317915)
Disponibilidad PUERTAS: 4765 / 5102  (0.93394747157977)
Disponibilidad FOTOCELULA: 5053 / 5102  (0.99039592316739)
Disponibilidad VARIADOR: 4911 / 5102  (0.9625637005096)
Disponibilidad LECTOR_QR_ENTRADA: 5102 / 5102  (1)
Disponibilidad LECTOR_QR_SALIDA: 5102 / 5102  (1)
Disponibilidad VTSC_ENTRADA: 5102 / 5102  (1)
Disponibilidad VTSC_SALIDA: 5101 / 5102  (0.99980399843199)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 105 / 109  (0.96330275229358)
Disponibilidad PUERTAS: 106 / 109  (0.97247706422018)
Disponibilidad FOTOCELULA: 107 / 109  (0.98165137614679)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-21 08:06:18
Numero MAVs: 59
Disponibilidad MAVs: 3654423 / 3804338  (0.96059366964765)
Disponibilidad PaySystem: 3649641 / 3799450  (0.96057087209991)
Disponibilidad Printer: 3742597 / 3799450  (0.98503651844346)
Disponibilidad RFID: 3767773 / 3804338  (0.99038860374657)
Disponibilidad PLC: 3797305 / 3804338  (0.99815132093941)
Disponibilidad Conexion: 3804338 / 3901402  (0.97512073864729)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 53 / 59  (0.89830508474576)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 57 / 59  (0.96610169491525)
Disponibilidad PLC: 58 / 59  (0.98305084745763)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2701
Validaciones / Aperturas Ultima: 2301 / 2295  (0.0026075619295958)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.5.100	12		12		-0		0
 10.40.5.101	4		4		-0		0
 10.40.5.102	20		20		-0		0
 10.40.5.103	15		15		-0		0
 10.40.6.100	0		0		-0		0
 10.40.6.101	0		0		-0		0
 10.40.7.100	23		23		-0		0
 10.40.7.101	12		12		-0		0
 10.40.7.102	17		17		-0		0
 10.40.7.103	33		33		-0		0
 10.40.7.104	56		56		-0		0
 10.40.7.105	40		40		-0		0
 10.40.8.100	5		5		-0		0
 10.40.8.101	14		14		-0		0
 10.40.8.102	0		0		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	0		0		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-0		0
 10.40.12.100	0		-0		0
 10.40.12.101	0		-3		3
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-4		4
 10.40.13.104	0		-6		6
 10.40.13.105	0		-0		0
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-5		5
 10.40.20.101	0		-7		7
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-6		6
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-1		1
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-6		6
 10.40.3.102	0		-0		0
 10.40.3.103	0		-4		4
 10.40.30.100	0		-0		0
 10.40.30.101	0		-2		2
 10.40.4.100	0		-2		2
 10.40.4.101	0		-0		0
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-0		0
 10.40.9.101	0		-0		0
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-09-21 08:00:18
Validaciones	Puerta Abierta	Porc.
2301	2295	0.997392438070404
IP	Valid	Puert	Porc
10.40.1.100	94	94	1
10.40.1.101	77	77	1
10.40.1.102	72	72	1
10.40.1.103	78	78	1
10.40.1.104	75	75	1
10.40.1.105	76	76	1
10.40.1.106	52	52	1
10.40.1.107	51	51	1
10.40.1.108	0	0	NULL
10.40.1.109	53	52	0.981132075471698
10.40.1.110	73	73	1
10.40.1.111	106	106	1
10.40.1.112	0	0	NULL
10.40.1.113	92	92	1
10.40.10.100	50	50	1
10.40.10.101	47	47	1
10.40.11.100	7	7	1
10.40.11.101	60	60	1
10.40.11.102	32	32	1
10.40.12.100	43	43	1
10.40.12.101	24	24	1
10.40.12.102	0	0	NULL
10.40.13.100	3	3	1
10.40.13.101	0	0	NULL
10.40.13.102	42	42	1
10.40.13.103	105	105	1
10.40.13.104	116	116	1
10.40.13.105	64	64	1
10.40.15.100	4	4	1
10.40.15.101	0	0	NULL
10.40.16.100	2	2	1
10.40.16.101	7	7	1
10.40.17.100	6	6	1
10.40.17.101	16	16	1
10.40.17.102	19	19	1
10.40.18.100	22	22	1
10.40.18.101	20	20	1
10.40.18.102	0	0	NULL
10.40.2.100	13	13	1
10.40.2.101	11	11	1
10.40.20.100	7	7	1
10.40.20.101	14	14	1
10.40.21.100	10	10	1
10.40.21.101	22	22	1
10.40.21.102	29	29	1
10.40.21.103	11	11	1
10.40.22.100	49	49	1
10.40.22.101	31	31	1
10.40.22.102	31	31	1
10.40.22.103	10	10	1
10.40.23.100	6	6	1
10.40.23.101	15	15	1
10.40.23.102	19	19	1
10.40.23.103	19	19	1
10.40.24.100	4	4	1
10.40.24.101	1	1	1
10.40.24.102	9	9	1
10.40.24.103	0	0	NULL
10.40.25.100	1	1	1
10.40.25.101	4	4	1
10.40.25.102	18	18	1
10.40.25.103	22	22	1
10.40.26.100	0	0	NULL
10.40.26.101	0	0	NULL
10.40.26.102	9	9	1
10.40.26.103	14	14	1
10.40.27.100	0	0	NULL
10.40.27.101	0	0	NULL
10.40.27.102	0	0	NULL
10.40.27.103	0	0	NULL
10.40.28.100	1	1	1
10.40.28.101	5	0	0
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	12	12	1
10.40.30.101	6	6	1
10.40.4.100	28	28	1
10.40.4.101	8	8	1
10.40.4.102	23	23	1
10.40.5.100	12	12	1
10.40.5.101	4	4	1
10.40.5.102	20	20	1
10.40.5.103	15	15	1
10.40.6.100	0	0	NULL
10.40.6.101	0	0	NULL
10.40.7.100	23	23	1
10.40.7.101	12	12	1
10.40.7.102	17	17	1
10.40.7.103	33	33	1
10.40.7.104	56	56	1
10.40.7.105	40	40	1
10.40.8.100	5	5	1
10.40.8.101	14	14	1
10.40.8.102	0	0	NULL
10.40.9.100	0	0	NULL
10.40.9.101	0	0	NULL
10.40.9.102	0	0	NULL
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
