+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 23/09/2015 18:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-23 18:00:31
Numero BTs: 109
Disponibilidad MUEBLE: 1845199 / 1882618  (0.98012395504558)
Disponibilidad PUERTAS: 1866322 / 1882232  (0.99154726941206)
Disponibilidad FOTOCELULA: 1873156 / 1882232  (0.99517806519069)
Disponibilidad VARIADOR: 1877434 / 1882232  (0.99745089872024)
Disponibilidad LECTOR_QR_ENTRADA: 1879748 / 1880724  (0.99948105091444)
Disponibilidad LECTOR_QR_SALIDA: 1879748 / 1880724  (0.99948105091444)
Disponibilidad VTSC_ENTRADA: 1881256 / 1882618  (0.9992765393723)
Disponibilidad VTSC_SALIDA: 1880585 / 1882618  (0.99892012081049)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 11430 / 11579  (0.98713187667329)
Disponibilidad PUERTAS: 11461 / 11579  (0.98980913723119)
Disponibilidad FOTOCELULA: 11560 / 11579  (0.99835909836773)
Disponibilidad VARIADOR: 11523 / 11579  (0.99516365834701)
Disponibilidad LECTOR_QR_ENTRADA: 11579 / 11579  (1)
Disponibilidad LECTOR_QR_SALIDA: 11579 / 11579  (1)
Disponibilidad VTSC_ENTRADA: 11577 / 11579  (0.99982727351239)
Disponibilidad VTSC_SALIDA: 11579 / 11579  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-23 18:06:10
Numero MAVs: 59
Disponibilidad MAVs: 3732372 / 3884901  (0.96073799564004)
Disponibilidad PaySystem: 3727590 / 3880013  (0.96071585327163)
Disponibilidad Printer: 3822275 / 3880013  (0.98511912202356)
Disponibilidad RFID: 3848100 / 3884901  (0.99052717173488)
Disponibilidad PLC: 3876816 / 3884901  (0.99791886588616)
Disponibilidad Conexion: 3884901 / 3983530  (0.97524080401051)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2759
Validaciones / Aperturas Ultima: 1769 / 1769  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.4.102	15		15		-0		0
 10.40.5.100	15		15		-0		0
 10.40.5.101	7		7		-0		0
 10.40.5.102	14		14		-0		0
 10.40.5.103	11		11		-0		0
 10.40.6.100	8		8		-0		0
 10.40.6.101	20		20		-0		0
 10.40.7.100	5		5		-0		0
 10.40.7.101	2		2		-0		0
 10.40.7.102	5		5		-0		0
 10.40.7.103	26		26		-0		0
 10.40.7.104	25		25		-0		0
 10.40.7.105	21		21		-0		0
 10.40.8.100	10		10		-0		0
 10.40.8.101	24		24		-0		0
 10.40.8.102	25		25		-0		0
 10.40.9.100	11		11		-0		0
 10.40.9.101	48		48		-0		0
 10.40.9.102	33		33		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-2		2
 10.40.1.102	0		-2		2
 10.40.1.103	0		-0		0
 10.40.1.104	0		-1		1
 10.40.1.105	0		-1		1
 10.40.1.106	0		-2		2
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-1		1
 10.40.1.111	0		-1		1
 10.40.1.112	0		-1		1
 10.40.1.113	0		-1		1
 10.40.10.100	0		-3		3
 10.40.10.101	0		-1		1
 10.40.11.100	0		-1		1
 10.40.11.101	0		-1		1
 10.40.11.102	0		-3		3
 10.40.12.100	0		-1		1
 10.40.12.101	0		-2		2
 10.40.12.102	0		-2		2
 10.40.13.100	0		-1		1
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-0		0
 10.40.13.105	0		-2		2
 10.40.15.100	0		-1		1
 10.40.15.101	0		-1		1
 10.40.16.100	0		-1		1
 10.40.16.101	0		-1		1
 10.40.17.100	0		-1		1
 10.40.17.101	0		-2		2
 10.40.17.102	0		-1		1
 10.40.18.100	0		-1		1
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-19		19
 10.40.2.101	0		-1		1
 10.40.20.100	0		-0		0
 10.40.20.101	0		-0		0
 10.40.21.100	0		-1		1
 10.40.21.101	0		-1		1
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-1		1
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-3		3
 10.40.23.100	0		-0		0
 10.40.23.101	0		-1		1
 10.40.23.102	0		-1		1
 10.40.23.103	0		-1		1
 10.40.24.100	0		-1		1
 10.40.24.101	0		-1		1
 10.40.24.102	0		-4		4
 10.40.24.103	0		-0		0
 10.40.25.100	0		-1		1
 10.40.25.101	0		-1		1
 10.40.25.102	0		-1		1
 10.40.25.103	0		-1		1
 10.40.26.100	0		-1		1
 10.40.26.101	0		-3		3
 10.40.26.102	0		-1		1
 10.40.26.103	0		-1		1
 10.40.27.100	0		-1		1
 10.40.27.101	0		-0		0
 10.40.27.102	0		-2		2
 10.40.27.103	0		-2		2
 10.40.28.100	0		-0		0
 10.40.28.101	0		-1		1
 10.40.28.102	0		-1		1
 10.40.28.103	0		-1		1
 10.40.29.100	0		-1		1
 10.40.29.101	0		-1		1
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-1		1
 10.40.29.105	0		-1		1
 10.40.29.106	0		-1		1
 10.40.29.107	0		-1		1
 10.40.3.100	0		-1		1
 10.40.3.101	0		-0		0
 10.40.3.102	0		-2		2
 10.40.3.103	0		-0		0
 10.40.30.100	0		-1		1
 10.40.30.101	0		-5		5
 10.40.4.100	0		-1		1
 10.40.4.101	0		-1		1
 10.40.4.102	0		-1		1
 10.40.5.100	0		-1		1
 10.40.5.101	0		-1		1
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-2		2
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-2		2
 10.40.7.102	0		-5		5
 10.40.7.103	0		-1		1
 10.40.7.104	0		-2		2
 10.40.7.105	0		-2		2
 10.40.8.100	0		-0		0
 10.40.8.101	0		-1		1
 10.40.8.102	0		-3		3
 10.40.9.100	0		-1		1
 10.40.9.101	0		-1		1
 10.40.9.102	0		-1		1
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-09-23 17:59:15
Validaciones	Puerta Abierta	Porc.
1769	1769	1
IP	Valid	Puert	Porc
10.40.1.100	64	64	1
10.40.1.101	50	50	1
10.40.1.102	59	59	1
10.40.1.103	44	44	1
10.40.1.104	44	44	1
10.40.1.105	38	38	1
10.40.1.106	16	16	1
10.40.1.107	6	6	1
10.40.1.108	84	84	1
10.40.1.109	75	75	1
10.40.1.110	59	59	1
10.40.1.111	50	50	1
10.40.1.112	60	60	1
10.40.1.113	51	51	1
10.40.10.100	16	16	1
10.40.10.101	16	16	1
10.40.11.100	5	5	1
10.40.11.101	24	24	1
10.40.11.102	11	11	1
10.40.12.100	13	13	1
10.40.12.101	15	15	1
10.40.12.102	0	0	NULL
10.40.13.100	12	12	1
10.40.13.101	22	22	1
10.40.13.102	53	53	1
10.40.13.103	2	2	1
10.40.13.104	95	95	1
10.40.13.105	68	68	1
10.40.15.100	1	1	1
10.40.15.101	1	1	1
10.40.16.100	4	4	1
10.40.16.101	5	5	1
10.40.17.100	15	15	1
10.40.17.101	13	13	1
10.40.17.102	22	22	1
10.40.18.100	24	24	1
10.40.18.101	11	11	1
10.40.18.102	9	9	1
10.40.2.100	9	9	1
10.40.2.101	7	7	1
10.40.20.100	2	2	1
10.40.20.101	0	0	NULL
10.40.21.100	13	13	1
10.40.21.101	18	18	1
10.40.21.102	21	21	1
10.40.21.103	16	16	1
10.40.22.100	18	18	1
10.40.22.101	12	12	1
10.40.22.102	3	3	1
10.40.22.103	3	3	1
10.40.23.100	11	11	1
10.40.23.101	6	6	1
10.40.23.102	8	8	1
10.40.23.103	11	11	1
10.40.24.100	4	4	1
10.40.24.101	3	3	1
10.40.24.102	3	3	1
10.40.24.103	2	2	1
10.40.25.100	6	6	1
10.40.25.101	14	14	1
10.40.25.102	5	5	1
10.40.25.103	1	1	1
10.40.26.100	14	14	1
10.40.26.101	3	3	1
10.40.26.102	1	1	1
10.40.26.103	3	3	1
10.40.27.100	8	8	1
10.40.27.101	3	3	1
10.40.27.102	2	2	1
10.40.27.103	1	1	1
10.40.28.100	5	5	1
10.40.28.101	1	1	1
10.40.28.102	3	3	1
10.40.28.103	1	1	1
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	13	13	1
10.40.29.105	19	19	1
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	5	5	1
10.40.30.101	2	2	1
10.40.4.100	4	4	1
10.40.4.101	3	3	1
10.40.4.102	15	15	1
10.40.5.100	15	15	1
10.40.5.101	7	7	1
10.40.5.102	14	14	1
10.40.5.103	11	11	1
10.40.6.100	8	8	1
10.40.6.101	20	20	1
10.40.7.100	5	5	1
10.40.7.101	2	2	1
10.40.7.102	5	5	1
10.40.7.103	26	26	1
10.40.7.104	25	25	1
10.40.7.105	21	21	1
10.40.8.100	10	10	1
10.40.8.101	24	24	1
10.40.8.102	25	25	1
10.40.9.100	11	11	1
10.40.9.101	48	48	1
10.40.9.102	33	33	1
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
