+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 25/09/2015 08:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-25 08:00:22
Numero BTs: 109
Disponibilidad MUEBLE: 1868868 / 1906572  (0.98022419294944)
Disponibilidad PUERTAS: 1890263 / 1906186  (0.9916466703669)
Disponibilidad FOTOCELULA: 1896994 / 1906186  (0.99517780531386)
Disponibilidad VARIADOR: 1901369 / 1906186  (0.99747296433821)
Disponibilidad LECTOR_QR_ENTRADA: 1903635 / 1904611  (0.99948755940189)
Disponibilidad LECTOR_QR_SALIDA: 1903635 / 1904611  (0.99948755940189)
Disponibilidad VTSC_ENTRADA: 1905208 / 1906572  (0.99928457986376)
Disponibilidad VTSC_SALIDA: 1904536 / 1906572  (0.99893211481129)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 5240 / 5318  (0.98533283189169)
Disponibilidad PUERTAS: 5307 / 5318  (0.99793155321549)
Disponibilidad FOTOCELULA: 5316 / 5318  (0.99962391876645)
Disponibilidad VARIADOR: 5302 / 5318  (0.99699135013163)
Disponibilidad LECTOR_QR_ENTRADA: 5318 / 5318  (1)
Disponibilidad LECTOR_QR_SALIDA: 5318 / 5318  (1)
Disponibilidad VTSC_ENTRADA: 5317 / 5318  (0.99981195938323)
Disponibilidad VTSC_SALIDA: 5317 / 5318  (0.99981195938323)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-25 08:06:05
Numero MAVs: 59
Disponibilidad MAVs: 3781069 / 3934569  (0.96098683235699)
Disponibilidad PaySystem: 3776011 / 3929386  (0.96096718418603)
Disponibilidad Printer: 3871353 / 3929386  (0.98523102591601)
Disponibilidad RFID: 3897764 / 3934569  (0.99064573527621)
Disponibilidad PLC: 3926484 / 3934569  (0.99794513706584)
Disponibilidad Conexion: 3934569 / 4035163  (0.9750706477037)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2795
Validaciones / Aperturas Ultima: 1194 / 1195  (-0.00083752093802345)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.4.102	2		2		-0		0
 10.40.5.100	5		5		-0		0
 10.40.5.101	2		2		-0		0
 10.40.5.102	15		15		-0		0
 10.40.5.103	8		8		-0		0
 10.40.6.100	6		6		-0		0
 10.40.6.101	19		19		-0		0
 10.40.7.100	6		6		-0		0
 10.40.7.101	3		3		-0		0
 10.40.7.102	1		1		-0		0
 10.40.7.103	16		17		-0		-0.0625
 10.40.7.104	22		22		-0		0
 10.40.7.105	15		15		-0		0
 10.40.8.100	0		0		-0		0
 10.40.8.101	5		5		-0		0
 10.40.8.102	2		2		-0		0
 10.40.9.100	5		5		-0		0
 10.40.9.101	38		38		-0		0
 10.40.9.102	16		16		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-1		1
 10.40.12.100	0		-0		0
 10.40.12.101	0		-0		0
 10.40.12.102	0		-0		0
 10.40.13.100	0		-2		2
 10.40.13.101	0		-0		0
 10.40.13.102	0		-7		7
 10.40.13.103	0		-0		0
 10.40.13.104	0		-0		0
 10.40.13.105	0		-10		10
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-1		1
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-0		0
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-4		4
 10.40.23.100	0		-6		6
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-2		2
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-2		2
 10.40.29.101	0		-0		0
 10.40.29.102	0		-4		4
 10.40.29.103	0		-0		0
 10.40.29.104	0		-4		4
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-2		2
 10.40.3.103	0		-2		2
 10.40.30.100	0		-4		4
 10.40.30.101	0		-2		2
 10.40.4.100	0		-2		2
 10.40.4.101	0		-0		0
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-0		0
 10.40.9.101	0		-0		0
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-09-25 07:58:37
Validaciones	Puerta Abierta	Porc.
1194	1195	1.00083752093802
IP	Valid	Puert	Porc
10.40.1.100	30	31	1.03333333333333
10.40.1.101	27	27	1
10.40.1.102	27	27	1
10.40.1.103	22	22	1
10.40.1.104	29	29	1
10.40.1.105	19	19	1
10.40.1.106	5	5	1
10.40.1.107	0	0	NULL
10.40.1.108	34	34	1
10.40.1.109	44	44	1
10.40.1.110	23	23	1
10.40.1.111	41	41	1
10.40.1.112	35	35	1
10.40.1.113	25	25	1
10.40.10.100	19	18	0.947368421052632
10.40.10.101	21	21	1
10.40.11.100	0	0	NULL
10.40.11.101	0	0	NULL
10.40.11.102	0	0	NULL
10.40.12.100	14	14	1
10.40.12.101	6	6	1
10.40.12.102	0	0	NULL
10.40.13.100	4	4	1
10.40.13.101	2	2	1
10.40.13.102	29	29	1
10.40.13.103	1	1	1
10.40.13.104	60	60	1
10.40.13.105	32	32	1
10.40.15.100	1	1	1
10.40.15.101	3	3	1
10.40.16.100	0	0	NULL
10.40.16.101	0	0	NULL
10.40.17.100	1	1	1
10.40.17.101	1	1	1
10.40.17.102	0	0	NULL
10.40.18.100	11	11	1
10.40.18.101	6	6	1
10.40.18.102	8	8	1
10.40.2.100	5	5	1
10.40.2.101	2	2	1
10.40.20.100	3	3	1
10.40.20.101	5	5	1
10.40.21.100	13	13	1
10.40.21.101	22	22	1
10.40.21.102	39	39	1
10.40.21.103	20	20	1
10.40.22.100	21	21	1
10.40.22.101	11	11	1
10.40.22.102	6	6	1
10.40.22.103	9	9	1
10.40.23.100	5	5	1
10.40.23.101	5	5	1
10.40.23.102	8	8	1
10.40.23.103	11	11	1
10.40.24.100	0	0	NULL
10.40.24.101	2	2	1
10.40.24.102	3	3	1
10.40.24.103	2	2	1
10.40.25.100	0	0	NULL
10.40.25.101	3	3	1
10.40.25.102	9	9	1
10.40.25.103	4	4	1
10.40.26.100	0	0	NULL
10.40.26.101	0	0	NULL
10.40.26.102	6	6	1
10.40.26.103	4	4	1
10.40.27.100	0	0	NULL
10.40.27.101	0	0	NULL
10.40.27.102	2	2	1
10.40.27.103	3	3	1
10.40.28.100	3	3	1
10.40.28.101	2	2	1
10.40.28.102	6	6	1
10.40.28.103	1	1	1
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	40	40	1
10.40.29.105	40	40	1
10.40.29.106	43	43	1
10.40.29.107	36	36	1
10.40.3.100	3	3	1
10.40.3.101	0	0	NULL
10.40.3.102	4	4	1
10.40.3.103	0	0	NULL
10.40.30.100	3	3	1
10.40.30.101	4	4	1
10.40.4.100	16	16	1
10.40.4.101	4	4	1
10.40.4.102	2	2	1
10.40.5.100	5	5	1
10.40.5.101	2	2	1
10.40.5.102	15	15	1
10.40.5.103	8	8	1
10.40.6.100	6	6	1
10.40.6.101	19	19	1
10.40.7.100	6	6	1
10.40.7.101	3	3	1
10.40.7.102	1	1	1
10.40.7.103	16	17	1.0625
10.40.7.104	22	22	1
10.40.7.105	15	15	1
10.40.8.100	0	0	NULL
10.40.8.101	5	5	1
10.40.8.102	2	2	1
10.40.9.100	5	5	1
10.40.9.101	38	38	1
10.40.9.102	16	16	1
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
