+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 17/09/2015 20:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-17 20:00:24
Numero BTs: 109
Disponibilidad MUEBLE: 1757011 / 1792305  (0.98030803908933)
Disponibilidad PUERTAS: 1777828 / 1791919  (0.9921363633066)
Disponibilidad FOTOCELULA: 1783122 / 1791919  (0.9950907379184)
Disponibilidad VARIADOR: 1788030 / 1791919  (0.99782970100769)
Disponibilidad LECTOR_QR_ENTRADA: 1789437 / 1790411  (0.99945599083116)
Disponibilidad LECTOR_QR_SALIDA: 1789437 / 1790411  (0.99945599083116)
Disponibilidad VTSC_ENTRADA: 1790950 / 1792305  (0.99924399028067)
Disponibilidad VTSC_SALIDA: 1790278 / 1792305  (0.99886905409515)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 12879 / 12908  (0.99775333126743)
Disponibilidad PUERTAS: 12899 / 12908  (0.99930275797955)
Disponibilidad FOTOCELULA: 12888 / 12908  (0.99845057328788)
Disponibilidad VARIADOR: 12906 / 12908  (0.99984505732879)
Disponibilidad LECTOR_QR_ENTRADA: 12907 / 12908  (0.99992252866439)
Disponibilidad LECTOR_QR_SALIDA: 12907 / 12908  (0.99992252866439)
Disponibilidad VTSC_ENTRADA: 12906 / 12908  (0.99984505732879)
Disponibilidad VTSC_SALIDA: 12907 / 12908  (0.99992252866439)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-17 20:01:16
Numero MAVs: 59
Disponibilidad MAVs: 3544786 / 3687634  (0.96126296698642)
Disponibilidad PaySystem: 3540041 / 3682777  (0.96124229080392)
Disponibilidad Printer: 3627822 / 3682805  (0.9850703471946)
Disponibilidad RFID: 3652784 / 3687714  (0.99052800732378)
Disponibilidad PLC: 3681081 / 3687738  (0.99819482837447)
Disponibilidad Conexion: 3687738 / 3782458  (0.97495808281282)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 55 / 59  (0.93220338983051)
Disponibilidad Printer: 57 / 59  (0.96610169491525)
Disponibilidad RFID: 57 / 59  (0.96610169491525)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2617
Validaciones / Aperturas Ultima: 1442 / 1445  (-0.0020804438280166)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.4.102	19		19		-0		0
 10.40.5.100	11		11		-0		0
 10.40.5.101	4		4		-0		0
 10.40.5.102	6		6		-0		0
 10.40.5.103	3		3		-0		0
 10.40.6.100	10		10		-0		0
 10.40.6.101	16		16		-0		0
 10.40.7.100	3		3		-0		0
 10.40.7.101	1		1		-0		0
 10.40.7.102	4		4		-0		0
 10.40.7.103	15		15		-0		0
 10.40.7.104	15		15		-0		0
 10.40.7.105	6		6		-0		0
 10.40.8.100	7		7		-0		0
 10.40.8.101	22		22		-0		0
 10.40.8.102	10		10		-0		0
 10.40.9.100	11		11		-0		0
 10.40.9.101	31		31		-0		0
 10.40.9.102	19		19		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-1		1
 10.40.12.100	0		-0		0
 10.40.12.101	0		-0		0
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-0		0
 10.40.13.105	0		-4		4
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-0		0
 10.40.20.101	0		-5		5
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-2		2
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-2		2
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-2		2
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-2		2
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-1		1
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-1		1
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-0		0
 10.40.30.101	0		-0		0
 10.40.4.100	0		-0		0
 10.40.4.101	0		-2		2
 10.40.4.102	0		-2		2
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-2		2
 10.40.9.100	0		-0		0
 10.40.9.101	0		-0		0
 10.40.9.102	0		-2		2
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-09-17 19:59:16
Validaciones	Puerta Abierta	Porc.
1442	1445	1.00208044382802
IP	Valid	Puert	Porc
10.40.1.100	51	51	1
10.40.1.101	38	38	1
10.40.1.102	27	27	1
10.40.1.103	37	38	1.02702702702703
10.40.1.104	34	35	1.02941176470588
10.40.1.105	32	32	1
10.40.1.106	19	19	1
10.40.1.107	37	37	1
10.40.1.108	0	0	NULL
10.40.1.109	100	100	1
10.40.1.110	65	65	1
10.40.1.111	51	51	1
10.40.1.112	52	53	1.01923076923077
10.40.1.113	43	43	1
10.40.10.100	14	14	1
10.40.10.101	19	19	1
10.40.11.100	7	7	1
10.40.11.101	23	23	1
10.40.11.102	23	23	1
10.40.12.100	8	8	1
10.40.12.101	6	6	1
10.40.12.102	0	0	NULL
10.40.13.100	10	10	1
10.40.13.101	8	8	1
10.40.13.102	27	27	1
10.40.13.103	47	47	1
10.40.13.104	59	59	1
10.40.13.105	42	42	1
10.40.15.100	2	2	1
10.40.15.101	1	1	1
10.40.16.100	0	0	NULL
10.40.16.101	4	4	1
10.40.17.100	6	6	1
10.40.17.101	15	15	1
10.40.17.102	10	10	1
10.40.18.100	15	15	1
10.40.18.101	7	7	1
10.40.18.102	7	7	1
10.40.2.100	6	6	1
10.40.2.101	7	7	1
10.40.20.100	2	2	1
10.40.20.101	11	11	1
10.40.21.100	14	14	1
10.40.21.101	21	21	1
10.40.21.102	20	20	1
10.40.21.103	21	21	1
10.40.22.100	11	11	1
10.40.22.101	12	12	1
10.40.22.102	7	7	1
10.40.22.103	1	1	1
10.40.23.100	9	9	1
10.40.23.101	8	8	1
10.40.23.102	3	3	1
10.40.23.103	6	6	1
10.40.24.100	2	2	1
10.40.24.101	6	6	1
10.40.24.102	2	2	1
10.40.24.103	2	2	1
10.40.25.100	3	3	1
10.40.25.101	6	6	1
10.40.25.102	4	4	1
10.40.25.103	1	1	1
10.40.26.100	5	5	1
10.40.26.101	5	5	1
10.40.26.102	0	0	NULL
10.40.26.103	1	1	1
10.40.27.100	1	1	1
10.40.27.101	1	1	1
10.40.27.102	0	0	NULL
10.40.27.103	0	0	NULL
10.40.28.100	5	5	1
10.40.28.101	3	3	1
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	2	2	1
10.40.29.105	2	2	1
10.40.29.106	15	15	1
10.40.29.107	35	35	1
10.40.3.100	1	1	1
10.40.3.101	3	3	1
10.40.3.102	2	2	1
10.40.3.103	0	0	NULL
10.40.30.100	3	3	1
10.40.30.101	3	3	1
10.40.4.100	8	8	1
10.40.4.101	3	3	1
10.40.4.102	19	19	1
10.40.5.100	11	11	1
10.40.5.101	4	4	1
10.40.5.102	6	6	1
10.40.5.103	3	3	1
10.40.6.100	10	10	1
10.40.6.101	16	16	1
10.40.7.100	3	3	1
10.40.7.101	1	1	1
10.40.7.102	4	4	1
10.40.7.103	15	15	1
10.40.7.104	15	15	1
10.40.7.105	6	6	1
10.40.8.100	7	7	1
10.40.8.101	22	22	1
10.40.8.102	10	10	1
10.40.9.100	11	11	1
10.40.9.101	31	31	1
10.40.9.102	19	19	1
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
