+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 16/09/2015 12:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-16 12:00:24
Numero BTs: 109
Disponibilidad MUEBLE: 1736511 / 1771730  (0.98012168897067)
Disponibilidad PUERTAS: 1757299 / 1771344  (0.99207099242157)
Disponibilidad FOTOCELULA: 1762581 / 1771344  (0.99505290897759)
Disponibilidad VARIADOR: 1767461 / 1771344  (0.99780787921488)
Disponibilidad LECTOR_QR_ENTRADA: 1768863 / 1769836  (0.99945023154688)
Disponibilidad LECTOR_QR_SALIDA: 1768863 / 1769836  (0.99945023154688)
Disponibilidad VTSC_ENTRADA: 1770379 / 1771730  (0.99923746846303)
Disponibilidad VTSC_SALIDA: 1769704 / 1771730  (0.99885648490458)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 7690 / 7820  (0.98337595907928)
Disponibilidad PUERTAS: 7767 / 7820  (0.99322250639386)
Disponibilidad FOTOCELULA: 7814 / 7820  (0.99923273657289)
Disponibilidad VARIADOR: 7747 / 7820  (0.99066496163683)
Disponibilidad LECTOR_QR_ENTRADA: 7819 / 7820  (0.99987212276215)
Disponibilidad LECTOR_QR_SALIDA: 7819 / 7820  (0.99987212276215)
Disponibilidad VTSC_ENTRADA: 7818 / 7820  (0.9997442455243)
Disponibilidad VTSC_SALIDA: 7818 / 7820  (0.9997442455243)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-16 12:01:16
Numero MAVs: 59
Disponibilidad MAVs: 3502261 / 3643093  (0.96134273816233)
Disponibilidad PaySystem: 3497511 / 3638235  (0.96132080528058)
Disponibilidad Printer: 3584566 / 3638263  (0.98524103397693)
Disponibilidad RFID: 3608439 / 3643171  (0.99046654686261)
Disponibilidad PLC: 3636799 / 3643199  (0.99824330210894)
Disponibilidad Conexion: 3643204 / 3737146  (0.97486263581888)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 55 / 59  (0.93220338983051)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2585
Validaciones / Aperturas Ultima: 1391 / 1391  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.5.100	9		9		-0		0
 10.40.5.101	4		4		-0		0
 10.40.5.102	3		3		-0		0
 10.40.5.103	2		2		-0		0
 10.40.6.100	19		19		-0		0
 10.40.6.101	13		13		-0		0
 10.40.7.100	10		10		-0		0
 10.40.7.101	2		2		-0		0
 10.40.7.102	2		2		-0		0
 10.40.7.103	14		14		-0		0
 10.40.7.104	22		22		-0		0
 10.40.7.105	9		9		-0		0
 10.40.8.100	5		5		-0		0
 10.40.8.101	9		9		-0		0
 10.40.8.102	3		3		-0		0
 10.40.9.100	2		2		-0		0
 10.40.9.101	32		32		-0		0
 10.40.9.102	6		6		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-4		4
 10.40.10.101	0		-5		5
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-2		2
 10.40.12.100	0		-0		0
 10.40.12.101	0		-4		4
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-0		0
 10.40.13.105	0		-4		4
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-2		2
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-4		4
 10.40.23.100	0		-0		0
 10.40.23.101	0		-0		0
 10.40.23.102	0		-6		6
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-3		3
 10.40.25.101	0		-0		0
 10.40.25.102	0		-2		2
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-8		8
 10.40.27.102	0		-4		4
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-4		4
 10.40.29.101	0		-2		2
 10.40.29.102	0		-4		4
 10.40.29.103	0		-0		0
 10.40.29.104	0		-2		2
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-0		0
 10.40.30.101	0		-2		2
 10.40.4.100	0		-0		0
 10.40.4.101	0		-2		2
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-2		2
 10.40.5.103	0		-0		0
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-2		2
 10.40.7.103	0		-3		3
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-0		0
 10.40.9.101	0		-0		0
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-09-16 11:58:56
Validaciones	Puerta Abierta	Porc.
1391	1391	1
IP	Valid	Puert	Porc
10.40.1.100	48	48	1
10.40.1.101	42	42	1
10.40.1.102	34	34	1
10.40.1.103	30	30	1
10.40.1.104	36	36	1
10.40.1.105	42	42	1
10.40.1.106	21	21	1
10.40.1.107	27	27	1
10.40.1.108	0	0	NULL
10.40.1.109	82	82	1
10.40.1.110	27	27	1
10.40.1.111	31	31	1
10.40.1.112	32	32	1
10.40.1.113	58	58	1
10.40.10.100	9	9	1
10.40.10.101	15	15	1
10.40.11.100	5	5	1
10.40.11.101	26	26	1
10.40.11.102	7	7	1
10.40.12.100	9	9	1
10.40.12.101	12	12	1
10.40.12.102	0	0	NULL
10.40.13.100	2	2	1
10.40.13.101	0	0	NULL
10.40.13.102	24	24	1
10.40.13.103	53	53	1
10.40.13.104	57	57	1
10.40.13.105	31	31	1
10.40.15.100	1	1	1
10.40.15.101	3	3	1
10.40.16.100	3	3	1
10.40.16.101	1	1	1
10.40.17.100	14	14	1
10.40.17.101	11	11	1
10.40.17.102	5	5	1
10.40.18.100	39	39	1
10.40.18.101	18	18	1
10.40.18.102	18	18	1
10.40.2.100	1	1	1
10.40.2.101	3	3	1
10.40.20.100	6	6	1
10.40.20.101	13	13	1
10.40.21.100	6	6	1
10.40.21.101	10	10	1
10.40.21.102	17	17	1
10.40.21.103	13	13	1
10.40.22.100	7	7	1
10.40.22.101	10	10	1
10.40.22.102	6	6	1
10.40.22.103	2	2	1
10.40.23.100	5	5	1
10.40.23.101	4	4	1
10.40.23.102	12	12	1
10.40.23.103	7	7	1
10.40.24.100	1	1	1
10.40.24.101	1	1	1
10.40.24.102	2	2	1
10.40.24.103	1	1	1
10.40.25.100	2	2	1
10.40.25.101	4	4	1
10.40.25.102	6	6	1
10.40.25.103	3	3	1
10.40.26.100	9	9	1
10.40.26.101	3	3	1
10.40.26.102	4	4	1
10.40.26.103	7	7	1
10.40.27.100	1	1	1
10.40.27.101	1	1	1
10.40.27.102	1	1	1
10.40.27.103	3	3	1
10.40.28.100	1	1	1
10.40.28.101	1	1	1
10.40.28.102	1	1	1
10.40.28.103	3	3	1
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	21	21	1
10.40.29.105	24	24	1
10.40.29.106	37	37	1
10.40.29.107	63	63	1
10.40.3.100	4	4	1
10.40.3.101	2	2	1
10.40.3.102	2	2	1
10.40.3.103	0	0	NULL
10.40.30.100	0	0	NULL
10.40.30.101	13	13	1
10.40.4.100	3	3	1
10.40.4.101	1	1	1
10.40.4.102	5	5	1
10.40.5.100	9	9	1
10.40.5.101	4	4	1
10.40.5.102	3	3	1
10.40.5.103	2	2	1
10.40.6.100	19	19	1
10.40.6.101	13	13	1
10.40.7.100	10	10	1
10.40.7.101	2	2	1
10.40.7.102	2	2	1
10.40.7.103	14	14	1
10.40.7.104	22	22	1
10.40.7.105	9	9	1
10.40.8.100	5	5	1
10.40.8.101	9	9	1
10.40.8.102	3	3	1
10.40.9.100	2	2	1
10.40.9.101	32	32	1
10.40.9.102	6	6	1
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
